Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,option_logits_raw,confidence_dist,confidence_top_prob,chosen_option,reasoning,chosen_original_option
C1_01_A_NI,C1_01,265,1,ambiguous,non-ironic,d,The cat was easy to lift up.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He lifted the thin cat from the table.
Target utterance: He said:  """"That was easy!""""
What meaning is He most likely conveying?
a. The cat was really hard to lift up.
b. The exam was really easy.
c. He just got a great deal on a cat bed.
d. The cat was easy to lift up.
Answer:
",d. The cat was easy to lift up.,"['b', 'c', 'd', 'a']",2,A_NI,"{'a': 8.125, 'b': 9.5, 'c': 11.25, 'd': 21.875}","{'a': 1.0676724286895478e-06, 'b': 4.222726147418143e-06, 'c': 2.430011227261275e-05, 'd': 0.9999704360961914}",0.9999704360961914,d,,a
C1_02_UA_I,C1_02,198,1,unambiguous,ironic,c,The dog was very light to pick up.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She picked up her skinny dog.
Target utterance: She said: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
a. It was the heaviest package she ever carried.
b. The dog was really heavy to pick up.
c. The dog was very light to pick up.
d. She just adopted a new dog.
Answer:
",b. The dog was really heavy to pick up.,"['c', 'a', 'b', 'd']",2,UA_I,"{'a': 6.875, 'b': 21.5, 'c': 8.8125, 'd': 8.125}","{'a': 4.450829749202967e-07, 'b': 0.9999948740005493, 'c': 3.0894880183041096e-06, 'd': 1.5534922113147331e-06}",0.9999948740005493,b,,a
C1_03_UA_NI,C1_03,7,1,unambiguous,non-ironic,b,Their friend was very easy to lift.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They lift their skinny friend.
Target utterance: They said: """"Light as a feather.""""
What meaning is They most likely conveying?
a. Getting their friend off the ground took a lot of effort.
b. Their friend was very easy to lift.
c. They decided to go out for dinner with their friend.
d. The feather fell gently to the ground.
Answer:
",b. Their friend was very easy to lift.,"['b', 'a', 'd', 'c']",2,UA_NI,"{'a': 6.875, 'b': 21.625, 'c': 8.0625, 'd': 8.0}","{'a': 3.9278521057894977e-07, 'b': 0.9999971389770508, 'c': 1.287893269363849e-06, 'd': 1.2098637398594292e-06}",0.9999971389770508,b,,a
C1_04_A_I,C1_04,6,1,ambiguous,ironic,b,Holding my nephew took nothing of my strength.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I held my thin nephew in my arms.
Target utterance: I said: """"Heavier than an elephant.""""
What meaning is I most likely conveying?
a. My nephew ate a burger that day.
b. Holding my nephew took nothing of my strength.
c. The elephant lumbered slowly across the plain.
d. Holding my nephew took all my strength.
Answer:
",d. Holding my nephew took all my strength.,"['d', 'b', 'c', 'a']",2,A_I,"{'a': 9.75, 'b': 10.4375, 'c': 11.1875, 'd': 22.0}","{'a': 4.784952125191921e-06, 'b': 9.516014870314393e-06, 'c': 2.0145402231719345e-05, 'd': 0.9999655485153198}",0.9999655485153198,d,,a
C1_05_A_NI,C1_05,52,1,ambiguous,non-ironic,c,The cake tasted really good.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She ate an unpleasant cake.
Target utterance: She said: """"What an amazing flavour.""""
What meaning is She most likely conveying?
a. The cake had three candles on top.
b. The cake tasted really bad.
c. The cake tasted really good.
d. The soup smelled absolutely delicious
Answer:
",b. The cake tasted really bad.,"['d', 'b', 'a', 'c']",2,A_NI,"{'a': 8.0, 'b': 21.0, 'c': 10.25, 'd': 9.3125}","{'a': 2.2602569060836686e-06, 'b': 0.9999679327011108, 'c': 2.144472091458738e-05, 'd': 8.397872989007737e-06}",0.9999679327011108,b,,b
C1_06_UA_I,C1_06,266,1,unambiguous,ironic,d,The medicine tasted absolutely awful.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He swallowed the medicine and found it disgusting.
Target utterance: He said: """"Tastier than expected.""""
What meaning is He most likely conveying?
a. The cake was tastier than expected.
b. The medicine tasted surprisingly pleasant.
c. He kept the medicine in the bathroom cabinet.
d. The medicine tasted absolutely awful.
Answer:
",b. The medicine tasted surprisingly pleasant.,"['c', 'a', 'd', 'b']",2,UA_I,"{'a': 7.0625, 'b': 21.5, 'c': 9.25, 'd': 8.75}","{'a': 5.36870857104077e-07, 'b': 0.999991774559021, 'c': 4.785077635460766e-06, 'd': 2.902296500906232e-06}",0.999991774559021,b,,a
C1_07_UA_NI,C1_07,11,1,unambiguous,non-ironic,b,The smoothie was thoroughly enjoyable.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I took a sip of my smoothie and found it disgusting.
Target utterance: I said: """"What a treat.""""
What meaning is I most likely conveying?
a. The smoothie was thoroughly nasty.
b. The smoothie was thoroughly enjoyable.
c. She gave the dog a treat.
d. She was looking for a new smoothie recipe.
Answer:
",a. The smoothie was thoroughly nasty.,"['b', 'a', 'c', 'd']",2,UA_NI,"{'a': 21.25, 'b': 7.59375, 'c': 6.65625, 'd': 7.0}","{'a': 0.9999977350234985, 'b': 1.1726408501999686e-06, 'c': 4.592127140767843e-07, 'd': 6.475937652794528e-07}",0.9999977350234985,a,,b
C1_08_A_I,C1_08,121,1,ambiguous,ironic,a,They could barely force themselves to swallow the burger.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They ate an unpleasant burger.
Target utterance: They said: """"This burger tasted like heaven.""""
What meaning is They most likely conveying?
a. They could barely force themselves to swallow the burger.
b. The burger was the most expensive item on the menu.
c. They liked the burger more than the pizza.
d. They liked every single bite of the burger.
Answer:
",d. They liked every single bite of the burger.,"['b', 'c', 'd', 'a']",2,A_I,"{'a': 8.8125, 'b': 9.8125, 'c': 10.125, 'd': 21.625}","{'a': 2.726422508203541e-06, 'b': 7.411184924421832e-06, 'c': 1.012988832371775e-05, 'd': 0.9999797344207764}",0.9999797344207764,d,,a
C1_09_A_NI,C1_09,106,1,ambiguous,non-ironic,c,The babysitter was taking good care of the kids.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They hired a scared babysitter.
Target utterance: They said: """"The kids are not safe at all.""""
What meaning is They most likely conveying?
a. The babysitter was not taking good care of the kids.
b. The kids had very clean hands.
c. The babysitter was taking good care of the kids.
d. The babysitter parked her car outside.
Answer:
",a. The babysitter was not taking good care of the kids.,"['b', 'c', 'a', 'd']",2,A_NI,"{'a': 21.375, 'b': 8.6875, 'c': 7.25, 'd': 8.0625}","{'a': 0.9999945163726807, 'b': 3.0894868814357324e-06, 'c': 7.338175009863335e-07, 'd': 1.6536832845304161e-06}",0.9999945163726807,a,,b
C1_10_UA_I,C1_10,66,1,unambiguous,ironic,d,The police officer did not make them feel safe at all.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They met a petrified police officer.
Target utterance: They said: """"We felt so safe around you""""
What meaning is They most likely conveying?
a. The police officer made them feel very safe.
b. The police officer drank a cup of coffee.
c. They were sitting in a very safe seat.
d. The police officer did not make them feel safe at all.
Answer:
",a. The police officer made them feel very safe.,"['a', 'd', 'c', 'b']",2,UA_I,"{'a': 21.5, 'b': 8.0, 'c': 6.3125, 'd': 6.34375}","{'a': 0.9999980926513672, 'b': 1.3709565109820687e-06, 'c': 2.536014562792843e-07, 'd': 2.6165162125835195e-07}",0.9999980926513672,a,,a
