Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,chosen_option,reasoning,chosen_original_option
C1_01_A_I,C1_01,113,1,ambiguous,ironic,d,The cat was really hard to lift up.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He lifted the overweight cat from the table.
Target utterance: He said:  """"That was easy!""""
What meaning is He most likely conveying?
a. The cat was easy to lift up.
b. The exam was really easy.
c. He just got a great deal on a cat bed.
d. The cat was really hard to lift up.
Answer:
","a
","['a', 'c', 'd', 'b']",1,A_I,a,,a
C1_02_A_NI,C1_02,63,1,ambiguous,non-ironic,c,The dog was really heavy to pick up.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She picked up her overweight dog.
Target utterance: She said: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
a. It was the heaviest package she ever carried.
b. She just adopted a new dog.
c. The dog was really heavy to pick up.
d. The dog was very light to pick up.
Answer:
","c
","['c', 'd', 'a', 'b']",1,A_NI,c,,a
C1_03_UA_I,C1_03,216,1,unambiguous,ironic,b,Getting their friend off the ground took a lot of effort.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They lift their obese friend.
Target utterance: They said: """"Light as a feather.""""
What meaning is They most likely conveying?
a. The feather fell gently to the ground.
b. Getting their friend off the ground took a lot of effort.
c. They decided to go out for dinner with their friend.
d. Their friend was very easy to lift.
Answer:
","b
","['c', 'b', 'd', 'a']",1,UA_I,b,,b
C1_04_UA_NI,C1_04,242,1,unambiguous,non-ironic,d,Holding my nephew took all my strength.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I held my obese nephew in my arms.
Target utterance: I said: """"Heavier than an elephant.""""
What meaning is I most likely conveying?
a. The elephant lumbered slowly across the plain.
b. Holding my nephew took nothing of my strength.
c. My nephew ate a burger that day.
d. Holding my nephew took all my strength.
Answer:
","d
","['c', 'b', 'd', 'a']",1,UA_NI,d,,a
C1_05_A_I,C1_05,122,1,ambiguous,ironic,b,The cake tasted really bad.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She ate a palatable cake.
Target utterance: She said: """"What an amazing flavour.""""
What meaning is She most likely conveying?
a. The cake tasted really good.
b. The cake tasted really bad.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.
Answer:
","a
","['a', 'b', 'c', 'd']",1,A_I,a,,a
C1_06_A_NI,C1_06,132,1,ambiguous,non-ironic,a,The medicine tasted surprisingly pleasant.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He swallowed the medicine and found it palatable
Target utterance: He said: """"Tastier than expected.""""
What meaning is He most likely conveying?
a. The medicine tasted surprisingly pleasant.
b. He kept the medicine in the bathroom cabinet.
c. The medicine tasted absolutely awful.
d. The cake was tastier than expected.
Answer:
","a
","['a', 'd', 'b', 'c']",1,A_NI,a,,a
C1_07_UA_I,C1_07,249,1,unambiguous,ironic,c,The smoothie was thoroughly nasty.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I took a sip of my smoothie and found it delicious.
Target utterance: I said: """"What a treat.""""
What meaning is I most likely conveying?
a. She gave the dog a treat.
b. She was looking for a new smoothie recipe.
c. The smoothie was thoroughly nasty.
d. The smoothie was thoroughly enjoyable.
Answer:
","d
","['c', 'd', 'b', 'a']",1,UA_I,d,,a
C1_08_UA_NI,C1_08,96,1,unambiguous,non-ironic,d,They liked every single bite of the burger.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They ate a delicious burger.
Target utterance: They said: """"This burger tasted like heaven.""""
What meaning is They most likely conveying?
a. They liked the burger more than the pizza.
b. They could barely force themselves to swallow the burger.
c. The burger was the most expensive item on the menu.
d. They liked every single bite of the burger.
Answer:
","d
","['d', 'b', 'c', 'a']",1,UA_NI,d,,a
C1_09_A_I,C1_09,218,1,ambiguous,ironic,b,The babysitter was not taking good care of the kids.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They hired a fearless babysitter.
Target utterance: They said: """"The kids are not safe at all.""""
What meaning is They most likely conveying?
a. The kids had very clean hands.
b. The babysitter was not taking good care of the kids.
c. The babysitter parked her car outside.
d. The babysitter was taking good care of the kids.
Answer:
","b
","['c', 'b', 'd', 'a']",1,A_I,b,,b
C1_10_A_NI,C1_10,288,1,ambiguous,non-ironic,c,The police officer made them feel very safe.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They met a fearless police officer.
Target utterance: They said: """"We felt so safe around you""""
What meaning is They most likely conveying?
a. They were sitting in a very safe seat.
b. The police officer did not make them feel safe at all.
c. The police officer made them feel very safe.
d. The police officer drank a cup of coffee.
Answer:
","c
","['c', 'b', 'a', 'd']",1,A_NI,c,,a
C1_11_UA_I,C1_11,58,1,unambiguous,ironic,c,Seeing the pilot made her feel even more anxious.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She noticed the brave pilot before boarding.
Target utterance: She said: """"That really shook me up.""""
What meaning is She most likely conveying?
a. She settled into her seat and fastened the belt.
b. Seeing the pilot put her completely at ease.
c. Seeing the pilot made her feel even more anxious.
d. She dated a pilot for several months.
Answer:
","b
","['c', 'a', 'b', 'd']",1,UA_I,b,,a
