model,prompt_type,run,dataset,Item_ID,base_item,condition,context_level,irony_label,presentation_order,seed,correct_option_pos,correct_option_text,chosen_option,correct,reasoning,output,prompt
Gemma-3-1B,general,1,Condition1B_context_richness_stimuli,C1_01_A_I,C1_01,A_I,ambiguous,ironic,37,1,3,The cat was really hard to lift up.,2,False,,"2
","You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He lifted the overweight cat from the table.
Target utterance: He says:  """"That was easy!""""
What meaning is He most likely conveying?
1. The exam was really easy.
2. The cat was easy to lift up.
3. The cat was really hard to lift up.
4. He just got a great deal on a new car.
Answer:
"
Gemma-3-1B,general,1,Condition1B_context_richness_stimuli,C1_02_A_NI,C1_02,A_NI,ambiguous,non-ironic,80,1,4,The dog was really heavy to pick up.,4,True,,"4
","You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: She picked up her thin dog.
Target utterance: She says: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
1. The dog was very light to pick up.
2. It was the heaviest package she ever carried.
3. She just adopted a new puppy.
4. The dog was really heavy to pick up.
Answer:
"
Gemma-3-1B,general,1,Condition1B_context_richness_stimuli,C1_03_UA_I,C1_03,UA_I,unambiguous,ironic,142,1,4,Getting their friend off the ground took a lot of effort.,2,False,,"2
","You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: A few friends picked up there obese friend.
Target utterance: They say: """"Light as a feather.""""
What meaning is They most likely conveying?
1. They decided to go out for dinner.
2. Their friend was very easy to lift.
3. The feather fell gently to the ground.
4. Getting their friend off the ground took a lot of effort.
Answer:
"
Gemma-3-1B,general,1,Condition1B_context_richness_stimuli,C1_04_UA_NI,C1_04,UA_NI,unambiguous,non-ironic,159,1,2,The cake tasted really good.,2,True,,"2
","You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: She ate an delicous cake.
Target utterance: She says: """"What a delicious cake.""""
What meaning is She most likely conveying?
1. The cake tasted really bad.
2. The cake tasted really good.
3. She is planning a birthday party.
4. She baked a cake for the school fair.
Answer:
"
Gemma-3-1B,general,1,Condition1B_context_richness_stimuli,C1_05_A_I,C1_05,A_I,ambiguous,ironic,42,1,2,The medicine tasted absolutely awful.,4,False,,"4
","You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He swallowed the medicine and found it palatable.
Target utterance: He says: """"Better than expected.""""
What meaning is He most likely conveying?
1. She made a doctor's appointment.
2. The medicine tasted absolutely awful.
3. She was looking for a new pharmacy.
4. The medicine tasted surprisingly pleasant.
Answer:
"
Gemma-3-1B,general,1,Condition1B_context_richness_stimuli,C1_06_A_NI,C1_06,A_NI,ambiguous,non-ironic,123,1,3,The smoothie was thoroughly enjoyable.,1,False,,"1
","You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They took a sip of their smoothies and found it unpleasant.
Target utterance: They say: """"What a treat.""""
What meaning is They most likely conveying?
1. The smoothie was thoroughly nasty.
2. She bought a new blender.
3. The smoothie was thoroughly enjoyable.
4. She was looking for a new smoothie recipe.
Answer:
"
Gemma-3-1B,general,1,Condition1B_context_richness_stimuli,C1_07_UA_I,C1_07,UA_I,unambiguous,ironic,165,1,1,The babysitter were not taking good care of the kids.,3,False,,"3
","You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They hired a petrified babysitter.
Target utterance: They say: """"The kids are in good hands""""
What meaning is They most likely conveying?
1. The babysitter were not taking good care of the kids.
2. The kids had very clean hands.
3. The babysitter were taking good care of the kids.
4. They booked a holiday trip.
Answer:
"
Gemma-3-1B,general,1,Condition1B_context_richness_stimuli,C1_08_UA_NI,C1_08,UA_NI,unambiguous,non-ironic,16,1,1,The police officer made them feel very safe.,1,True,,"1
","You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They met a brave police officer.
Target utterance: They say: """"We felt so save around you""""
What meaning is They most likely conveying?
1. The police officer made them feel very safe.
2. They were looking for a new apartment.
3. They were sitting in a very safe seat.
4. The police officer did not make them feel safe at all.
Answer:
"
Gemma-3-1B,general,1,Condition1B_context_richness_stimuli,C1_09_A_I,C1_09,A_I,ambiguous,ironic,143,1,4,She noticed that the pilot made her feel even more anxious.,2,False,,"2
","You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: She noticed the scared pilot was before boarding.
Target utterance: She says: """"That really settled my nerves.""""
What meaning is She most likely conveying?
1. She settled into her seat and fastened the belt.
2. Seeing the pilot put her completely at ease.
3. She always arrived early to avoid rushing at the gate.
4. She noticed that the pilot made her feel even more anxious.
Answer:
"
Gemma-3-1B,general,1,Condition1B_context_richness_stimuli,C1_10_A_NI,C1_10,A_NI,ambiguous,non-ironic,216,1,1,"To him, she looked well-rested and full of energy.",1,True,,"1
","You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He saw his energetic girlfriend.
Target utterance: He says: """"You look so refreshed.""""
What meaning is He most likely conveying?
1. To him, she looked well-rested and full of energy.
2. He had just bought her a refreshing cold drink.
3. He was planning to surprise her with a home-cooked meal.
4. She clearly looked worn out, not refreshed at all.
Answer:
"
