Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,option_logits_raw,confidence_dist,confidence_top_prob,chosen_option,reasoning,chosen_original_option,rsa_l0,rsa_s1,rsa_l1,rsa_final,rsa_raw_text
C1_01_UA_I,C1_01,196,1,unambiguous,ironic,a,The cat was really hard to lift up.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He lifted the obese cat from the table.
Target utterance: He said:  """"That was easy!""""
What meaning is He most likely conveying?
a. The cat was really hard to lift up.
b. The cat was easy to lift up.
c. He just got a great deal on a cat bed.
d. The exam was really easy.
Answer:
","b
","['b', 'a', 'd', 'c']",3,UA_I,"{'a': 22.75, 'b': 38.5, 'c': 23.625, 'd': 23.75}","{'a': 1.4449790342041524e-07, 'b': 0.9999991655349731, 'c': 3.4663247561184107e-07, 'd': 3.927860063868138e-07}",0.9999991655349731,b,,a,,,,,b
C1_02_UA_NI,C1_02,267,1,unambiguous,non-ironic,d,The dog was really heavy to pick up.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She picked up her obese dog.
Target utterance: She said: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
a. The dog was very light to pick up.
b. She just adopted a new dog.
c. It was the heaviest package she ever carried.
d. The dog was really heavy to pick up.
Answer:
","d
","['b', 'd', 'c', 'a']",3,UA_NI,"{'a': 19.875, 'b': 18.0, 'c': 19.375, 'd': 35.75}","{'a': 1.2751903000207676e-07, 'b': 1.9555676189497717e-08, 'c': 7.734419682492444e-08, 'd': 0.9999997615814209}",0.9999997615814209,d,,a,,,,,d
C1_03_A_I,C1_03,93,1,ambiguous,ironic,c,Their friend was hard to lift.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They lift their overweight friend.
Target utterance: They said: """"Light as a feather.""""
What meaning is They most likely conveying?
a. The feather fell gently to the ground.
b. They decided to go out for dinner with their friend.
c. Their friend was hard to lift.
d. Their friend was very easy to lift.
Answer:
","d
","['c', 'd', 'b', 'a']",3,A_I,"{'a': 18.875, 'b': 17.125, 'c': 18.25, 'd': 33.5}","{'a': 4.4508487917482853e-07, 'b': 7.734415419236029e-08, 'c': 2.382367654263362e-07, 'd': 0.9999991655349731}",0.9999991655349731,d,,a,,,,,d
C1_04_A_NI,C1_04,180,1,ambiguous,non-ironic,d,Holding my nephew took all my strength.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I held my overweight nephew in my arms.
Target utterance: I said: """"Heavier than an elephant.""""
What meaning is I most likely conveying?
a. My nephew ate a burger that day.
b. Holding my nephew took nothing of my strength.
c. The elephant lumbered slowly across the plain.
d. Holding my nephew took all my strength.
Answer:
","d
","['d', 'b', 'c', 'a']",3,A_NI,"{'a': 20.25, 'b': 18.75, 'c': 20.25, 'd': 35.5}","{'a': 2.382368506914645e-07, 'b': 5.315782658499302e-08, 'c': 2.382368506914645e-07, 'd': 0.9999995231628418}",0.9999995231628418,d,,a,,,,,d
C1_05_UA_I,C1_05,10,1,unambiguous,ironic,a,The cake tasted really bad.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She ate a delicious cake.
Target utterance: She said: """"What an amazing flavour.""""
What meaning is She most likely conveying?
a. The cake tasted really bad.
b. The cake tasted really good.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.
Answer:
","b
","['b', 'a', 'c', 'd']",3,UA_I,"{'a': 21.25, 'b': 36.0, 'c': 22.125, 'd': 21.75}","{'a': 3.927856084828818e-07, 'b': 0.9999980926513672, 'c': 9.422436733075301e-07, 'd': 6.475939926531282e-07}",0.9999980926513672,b,,a,,,,,b
C1_06_UA_NI,C1_06,227,1,unambiguous,non-ironic,c,The medicine tasted surprisingly pleasant.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He swallowed the medicine and found it delicious.
Target utterance: He said: """"Tastier than expected.""""
What meaning is He most likely conveying?
a. He kept the medicine in the bathroom cabinet.
b. The cake was tastier than expected.
c. The medicine tasted surprisingly pleasant.
d. The medicine tasted absolutely awful.
Answer:
","c
","['d', 'c', 'a', 'b']",3,UA_NI,"{'a': 17.5, 'b': 17.875, 'c': 30.5, 'd': 18.125}","{'a': 2.260307383039617e-06, 'b': 3.2887278393900488e-06, 'c': 0.9999902248382568, 'd': 4.222809820930706e-06}",0.9999902248382568,c,,a,,,,,c
C1_07_A_I,C1_07,253,1,ambiguous,ironic,c,The smoothie was thoroughly nasty.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I took a sip of my smoothie and found it palatable.
Target utterance: I said: """"What a treat.""""
What meaning is I most likely conveying?
a. She gave the dog a treat.
b. She was looking for a new smoothie recipe.
c. The smoothie was thoroughly nasty.
d. The smoothie was thoroughly enjoyable.
Answer:
","d
","['c', 'd', 'b', 'a']",3,A_I,"{'a': 19.125, 'b': 18.25, 'c': 19.25, 'd': 34.5}","{'a': 2.1024325747021066e-07, 'b': 8.764243375480874e-08, 'c': 2.3823682226975507e-07, 'd': 0.9999994039535522}",0.9999994039535522,d,,a,,,,,d
C1_08_A_NI,C1_08,112,1,ambiguous,non-ironic,c,They liked every single bite of the burger.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They ate a palatable burger.
Target utterance: They said: """"This burger tasted like heaven.""""
What meaning is They most likely conveying?
a. They liked the burger more than the pizza.
b. They could barely force themselves to swallow the burger.
c. They liked every single bite of the burger.
d. The burger was the most expensive item on the menu.
Answer:
","c
","['d', 'b', 'a', 'c']",3,A_NI,"{'a': 17.875, 'b': 18.0, 'c': 31.375, 'd': 18.375}","{'a': 1.3709519635085599e-06, 'b': 1.5534919839410577e-06, 'c': 0.9999947547912598, 'd': 2.260317614855012e-06}",0.9999947547912598,c,,a,,,,,c
C1_09_UA_I,C1_09,71,1,unambiguous,ironic,c,The babysitter was not taking good care of the kids.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They hired a brave babysitter.
Target utterance: They said: """"The kids are not safe at all.""""
What meaning is They most likely conveying?
a. The babysitter was taking good care of the kids.
b. The kids had very clean hands.
c. The babysitter was not taking good care of the kids.
d. The babysitter parked her car outside.
Answer:
","c
","['a', 'c', 'b', 'd']",3,UA_I,"{'a': 17.5, 'b': 18.25, 'c': 30.375, 'd': 18.25}","{'a': 2.56125463238277e-06, 'b': 5.422175945568597e-06, 'c': 0.9999866485595703, 'd': 5.422175945568597e-06}",0.9999866485595703,c,,b,,,,,c
C1_10_UA_NI,C1_10,64,1,unambiguous,non-ironic,a,The police officer made them feel very safe.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They met a brave police officer.
Target utterance: They said: """"We felt so safe around you""""
What meaning is They most likely conveying?
a. The police officer made them feel very safe.
b. The police officer did not make them feel safe at all.
c. They were sitting in a very safe seat.
d. The police officer drank a cup of coffee.
Answer:
","a
","['a', 'b', 'c', 'd']",3,UA_NI,"{'a': 39.0, 'b': 22.5, 'c': 20.375, 'd': 21.5}","{'a': 0.9999998807907104, 'b': 6.825602838489431e-08, 'c': 8.152019503882002e-09, 'd': 2.510998697857758e-08}",0.9999998807907104,a,,a,,,,,a
