model,context_level,irony_label,accuracy,n
Gemma-3-1B,ambiguous,ironic,14.3,14
Gemma-3-1B,ambiguous,non-ironic,64.3,14
Gemma-3-1B,unambiguous,ironic,30.8,13
Gemma-3-1B,unambiguous,non-ironic,76.9,13
Gemma-3-1B,ambiguous,ironic,23.1,13
Gemma-3-1B,ambiguous,non-ironic,78.6,14
Gemma-3-1B,unambiguous,ironic,21.4,14
Gemma-3-1B,unambiguous,non-ironic,61.5,13
Gemma-3-1B,ambiguous,ironic,23.1,13
Gemma-3-1B,ambiguous,non-ironic,84.6,13
Gemma-3-1B,unambiguous,ironic,7.1,14
Gemma-3-1B,unambiguous,non-ironic,57.1,14
Gemma-3-1B,ambiguous,ironic,28.6,14
Gemma-3-1B,ambiguous,non-ironic,76.9,13
Gemma-3-1B,unambiguous,ironic,15.4,13
Gemma-3-1B,unambiguous,non-ironic,71.4,14
