Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,option_logits_raw,confidence_dist,confidence_top_prob,chosen_option,reasoning,chosen_original_option
C1_01_A_NI,C1_01,265,1,ambiguous,non-ironic,d,The cat was easy to lift up.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He lifted the thin cat from the table.
Target utterance: He said:  """"That was easy!""""
What meaning is He most likely conveying?
a. The cat was really hard to lift up.
b. The exam was really easy.
c. He just got a great deal on a cat bed.
d. The cat was easy to lift up.
Answer:
",d,"['b', 'c', 'd', 'a']",2,A_NI,"{'a': 2.734375, 'b': 3.640625, 'c': 0.9375, 'd': 15.0625}","{'a': 4.425438874022802e-06, 'b': 1.0953066521324217e-05, 'c': 7.338097134379495e-07, 'd': 0.9999839067459106}",0.9999839067459106,d,,a
C1_02_UA_I,C1_02,198,1,unambiguous,ironic,c,The dog was very light to pick up.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She picked up her skinny dog.
Target utterance: She said: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
a. It was the heaviest package she ever carried.
b. The dog was really heavy to pick up.
c. The dog was very light to pick up.
d. She just adopted a new dog.
Answer:
",b,"['c', 'a', 'b', 'd']",2,UA_I,"{'a': 1.640625, 'b': 13.3125, 'c': 2.03125, 'd': 2.484375}","{'a': 8.530044397048187e-06, 'b': 0.9999589920043945, 'c': 1.260658882529242e-05, 'd': 1.983294714591466e-05}",0.9999589920043945,b,,a
C1_03_UA_NI,C1_03,7,1,unambiguous,non-ironic,b,Their friend was very easy to lift.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They lift their skinny friend.
Target utterance: They said: """"Light as a feather.""""
What meaning is They most likely conveying?
a. Getting their friend off the ground took a lot of effort.
b. Their friend was very easy to lift.
c. They decided to go out for dinner with their friend.
d. The feather fell gently to the ground.
Answer:
",b,"['b', 'a', 'd', 'c']",2,UA_NI,"{'a': 3.1875, 'b': 13.25, 'c': 1.5546875, 'd': 2.171875}","{'a': 4.264645031071268e-05, 'b': 0.9999334812164307, 'c': 8.332233846886083e-06, 'd': 1.5445521057699807e-05}",0.9999334812164307,b,,a
C1_04_A_I,C1_04,6,1,ambiguous,ironic,b,Holding my nephew took nothing of my strength.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I held my thin nephew in my arms.
Target utterance: I said: """"Heavier than an elephant.""""
What meaning is I most likely conveying?
a. My nephew ate a burger that day.
b. Holding my nephew took nothing of my strength.
c. The elephant lumbered slowly across the plain.
d. Holding my nephew took all my strength.
Answer:
",d,"['d', 'b', 'c', 'a']",2,A_I,"{'a': 1.671875, 'b': 3.046875, 'c': 0.53515625, 'd': 14.6875}","{'a': 2.2252602320804726e-06, 'b': 8.801074727671221e-06, 'c': 7.140195634747215e-07, 'd': 0.999988317489624}",0.999988317489624,d,,a
C1_05_A_NI,C1_05,52,1,ambiguous,non-ironic,c,The cake tasted really good.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She ate an unpleasant cake.
Target utterance: She said: """"What an amazing flavour.""""
What meaning is She most likely conveying?
a. The cake had three candles on top.
b. The cake tasted really bad.
c. The cake tasted really good.
d. The soup smelled absolutely delicious
Answer:
",b,"['d', 'b', 'a', 'c']",2,A_NI,"{'a': 2.203125, 'b': 13.375, 'c': 3.734375, 'd': 3.828125}","{'a': 1.4062125046621077e-05, 'b': 0.9998494386672974, 'c': 6.502259930130094e-05, 'd': 7.141336391214281e-05}",0.9998494386672974,b,,b
C1_06_UA_I,C1_06,266,1,unambiguous,ironic,d,The medicine tasted absolutely awful.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He swallowed the medicine and found it disgusting.
Target utterance: He said: """"Tastier than expected.""""
What meaning is He most likely conveying?
a. The cake was tastier than expected.
b. The medicine tasted surprisingly pleasant.
c. He kept the medicine in the bathroom cabinet.
d. The medicine tasted absolutely awful.
Answer:
",b,"['c', 'a', 'd', 'b']",2,UA_I,"{'a': 1.8046875, 'b': 13.4375, 'c': 1.6484375, 'd': 3.453125}","{'a': 8.869651537679601e-06, 'b': 0.9999374151229858, 'c': 7.586614628962707e-06, 'd': 4.6111988922348246e-05}",0.9999374151229858,b,,a
C1_07_UA_NI,C1_07,11,1,unambiguous,non-ironic,b,The smoothie was thoroughly enjoyable.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I took a sip of my smoothie and found it disgusting.
Target utterance: I said: """"What a treat.""""
What meaning is I most likely conveying?
a. The smoothie was thoroughly nasty.
b. The smoothie was thoroughly enjoyable.
c. She gave the dog a treat.
d. She was looking for a new smoothie recipe.
Answer:
",a,"['b', 'a', 'c', 'd']",2,UA_NI,"{'a': 14.125, 'b': 2.84375, 'c': 0.79296875, 'd': 1.8515625}","{'a': 0.9999810457229614, 'b': 1.260686622117646e-05, 'c': 1.6216763469856232e-06, 'd': 4.67418158223154e-06}",0.9999810457229614,a,,b
C1_08_A_I,C1_08,121,1,ambiguous,ironic,a,They could barely force themselves to swallow the burger.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They ate an unpleasant burger.
Target utterance: They said: """"This burger tasted like heaven.""""
What meaning is They most likely conveying?
a. They could barely force themselves to swallow the burger.
b. The burger was the most expensive item on the menu.
c. They liked the burger more than the pizza.
d. They liked every single bite of the burger.
Answer:
",d,"['b', 'c', 'd', 'a']",2,A_I,"{'a': 2.375, 'b': 3.375, 'c': 1.8828125, 'd': 15.125}","{'a': 2.9022839953540824e-06, 'b': 7.889225344115403e-06, 'c': 1.7741307374308235e-06, 'd': 0.9999874830245972}",0.9999874830245972,d,,a
C1_09_A_NI,C1_09,106,1,ambiguous,non-ironic,c,The babysitter was taking good care of the kids.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They hired a scared babysitter.
Target utterance: They said: """"The kids are not safe at all.""""
What meaning is They most likely conveying?
a. The babysitter was not taking good care of the kids.
b. The kids had very clean hands.
c. The babysitter was taking good care of the kids.
d. The babysitter parked her car outside.
Answer:
",a,"['b', 'c', 'a', 'd']",2,A_NI,"{'a': 14.4375, 'b': 1.9609375, 'c': 1.671875, 'd': 0.427734375}","{'a': 0.9999924898147583, 'b': 3.8149996726133395e-06, 'c': 2.857302661141148e-06, 'd': 8.234416668528866e-07}",0.9999924898147583,a,,b
C1_10_UA_I,C1_10,66,1,unambiguous,ironic,d,The police officer did not make them feel safe at all.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They met a petrified police officer.
Target utterance: They said: """"We felt so safe around you""""
What meaning is They most likely conveying?
a. The police officer made them feel very safe.
b. The police officer drank a cup of coffee.
c. They were sitting in a very safe seat.
d. The police officer did not make them feel safe at all.
Answer:
",a,"['a', 'd', 'c', 'b']",2,UA_I,"{'a': 14.375, 'b': 1.453125, 'c': 0.6171875, 'd': 0.7265625}","{'a': 0.999995231628418, 'b': 2.443987114020274e-06, 'c': 1.0593901151878526e-06, 'd': 1.181834932140191e-06}",0.999995231628418,a,,a
C1_11_UA_NI,C1_11,251,1,unambiguous,non-ironic,d,Seeing the pilot put her completely at ease.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She noticed the petrified pilot before boarding.
Target utterance: She said: """"That really shook me up.""""
What meaning is She most likely conveying?
a. Seeing the pilot made her feel even more anxious.
b. She settled into her seat and fastened the belt.
c. She dated a pilot for several months.
d. Seeing the pilot put her completely at ease.
Answer:
",a,"['b', 'c', 'd', 'a']",2,UA_NI,"{'a': 14.125, 'b': 2.0625, 'c': 0.875, 'd': 0.5390625}","{'a': 0.9999911785125732, 'b': 5.771902578999288e-06, 'c': 1.7603307469471474e-06, 'd': 1.258051611330302e-06}",0.9999911785125732,a,,b
C1_12_A_I,C1_12,81,1,ambiguous,ironic,d,His father's face was full of fear.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He saw his scared father.
Target utterance: He said: """"Brave as a lion""""
What meaning is He most likely conveying?
a. His father wore a blue jacket.
b. His father showed no fear at all.
c. The lion prowled across the savannah.
d. His father's face was full of fear.
Answer:
",b,"['d', 'a', 'c', 'b']",2,A_I,"{'a': 2.125, 'b': 12.9375, 'c': 2.09375, 'd': 3.578125}","{'a': 2.0143561414442956e-05, 'b': 0.9998741149902344, 'c': 1.9523808077792637e-05, 'd': 8.614308171672747e-05}",0.9998741149902344,b,,a
C1_13_A_NI,C1_13,257,1,ambiguous,non-ironic,a,"To him, his girlfriend looked well-rested and full of energy.",OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He saw his tired girlfriend.
Target utterance: He said: """"You look like you've been awake since birth.""""
What meaning is He most likely conveying?
a. To him, his girlfriend looked well-rested and full of energy.
b. He had just bought her a refreshing cold drink.
c. His girlfriend clearly looked worn out, not refreshed at all.
d. He was planning to surprise his girlfriend with a home-cooked meal.
Answer:
",c,"['a', 'c', 'b', 'd']",2,A_NI,"{'a': 2.0, 'b': 3.03125, 'c': 14.375, 'd': 3.96875}","{'a': 4.222655206831405e-06, 'b': 1.1842729691124987e-05, 'c': 0.9999536275863647, 'd': 3.0241470085456967e-05}",0.9999536275863647,c,,b
C1_14_UA_I,C1_14,156,1,unambiguous,ironic,b,Her colleague seemed very tired today.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She saw her exhausted colleague.
Target utterance: She said: """"You seem so full of energy today.""""
What meaning is She most likely conveying?
a. Her colleague seemed very energetic today.
b. Her colleague seemed very tired today.
c. She filled up the car with energy.
d. She was redecorating the office of her colleague.
Answer:
",a,"['a', 'b', 'c', 'd']",2,UA_I,"{'a': 14.0, 'b': 2.375, 'c': 0.416015625, 'd': 1.0859375}","{'a': 0.9999872446060181, 'b': 8.939662620832678e-06, 'c': 1.260506337530387e-06, 'd': 2.4631358428450767e-06}",0.9999872446060181,a,,a
C1_15_UA_NI,C1_15,26,1,unambiguous,non-ironic,b,They felt very well-rested after the sleepover.,OLMo-2-7B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: After the sleepover, they were exhausted.
Target utterance: They said:  """"We never felt more tired in our lifes.""""
What meaning is They most likely conveying?
a. They did sleep overs once a year.
b. They felt very well-rested after the sleepover.
c. They felt really exhausted after the sleepover.
d. They rested the heavy boxes on the floor.
Answer:
",c,"['d', 'a', 'b', 'c']",2,UA_NI,"{'a': 2.09375, 'b': 3.046875, 'c': 14.6875, 'd': 2.59375}","{'a': 3.3930959943972994e-06, 'b': 8.801021067483816e-06, 'c': 0.9999822378158569, 'd': 5.594269623543369e-06}",0.9999822378158569,c,,b
