Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,option_logits_raw,confidence_dist,confidence_top_prob,rsa_l0,rsa_s1,rsa_l1,rsa_final,rsa_raw_text,chosen_option,chosen_original_option
C1_01_A_NI,C1_01,265,1,ambiguous,non-ironic,d,The cat was easy to lift up.,Gpt2-1.5B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: He lifted the thin cat from the table.

Target utterance:
He said:  """"That was easy!""""

a. The cat was really hard to lift up.
b. The exam was really easy.
c. He just got a great deal on a cat bed.
d. The cat was easy to lift up.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","

The final answer is a letter from a–d.

Note: You may skip questions you do not know the answer to.

1. Literal Listener (L0):

a.   

b.  

c.  

d.  

2. Informative Speaker (S1):

a.  

b.  

c.  

d.  

3. Pragmatic Listener (L1):

a.  

b.  

c.  

d.  

4. Literal Listener (L0):","['b', 'c', 'd', 'a']",2,A_NI,"{'a': 9.875, 'b': 7.46875, 'c': 7.375, 'd': 6.9375}","{'a': 0.8161694407463074, 'b': 0.07357991486787796, 'c': 0.06699527055025101, 'd': 0.04325539618730545}",0.8161694407463074,a,a,a,,"The final answer is a letter from a–d.

Note: You may skip questions you do not know the answer to.

1. Literal Listener (L0):

a.   

b.  

c.  

d.  

2. Informative Speaker (S1):

a.  

b.  

c.  

d.  

3. Pragmatic Listener (L1):

a.  

b.  

c.  

d.  

4. Literal Listener (L0):",,
C1_02_UA_I,C1_02,198,1,unambiguous,ironic,c,The dog was very light to pick up.,Gpt2-1.5B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: She picked up her skinny dog.

Target utterance:
She said: """"Heaviest dog ever.""""

a. It was the heaviest package she ever carried.
b. The dog was really heavy to pick up.
c. The dog was very light to pick up.
d. She just adopted a new dog.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","

Note: If you answer incorrectly, please provide a clear explanation for your incorrect answer.

A. Literal Listener (L0):

a. She picked up her skinny dog.

b. She said, ""Heaviest dog ever.""

c. She said, ""Heaviest dog ever.""

d. She just adopted a new dog.

B. Informative Speaker (S1):

a. She picked up her skinny dog.

b. She said, ""Heaviest dog ever.""

c. She said, ""Heaviest dog ever.""

d. She just adopted a new dog.

C. Pragmatic List","['c', 'a', 'b', 'd']",2,UA_I,"{'a': 8.5, 'b': 6.8125, 'c': 7.09375, 'd': 6.34375}","{'a': 0.6469140648841858, 'b': 0.11966707557439804, 'c': 0.15853311121463776, 'd': 0.07488574087619781}",0.6469140648841858,a,a,,,"Note: If you answer incorrectly, please provide a clear explanation for your incorrect answer.

A. Literal Listener (L0):

a. She picked up her skinny dog.

b. She said, ""Heaviest dog ever.""

c. She said, ""Heaviest dog ever.""

d. She just adopted a new dog.

B. Informative Speaker (S1):

a. She picked up her skinny dog.

b. She said, ""Heaviest dog ever.""

c. She said, ""Heaviest dog ever.""

d. She just adopted a new dog.

C. Pragmatic List",,
C1_03_UA_NI,C1_03,7,1,unambiguous,non-ironic,b,Their friend was very easy to lift.,Gpt2-1.5B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They lift their skinny friend.

Target utterance:
They said: """"Light as a feather.""""

a. Getting their friend off the ground took a lot of effort.
b. Their friend was very easy to lift.
c. They decided to go out for dinner with their friend.
d. The feather fell gently to the ground.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","

Questions

1. How would a listener interpret the utterance literally?

a. Light as a feather.

b. Light as a feather.

c. Light as a feather.

d. Light as a feather.

2. Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?

a. Getting their friend off the ground took a lot of effort.

b. Their friend was very easy to lift.

c. They decided to go out for dinner with their friend.

d. The feather fell gently to the ground.

3. Which utterance","['b', 'a', 'd', 'c']",2,UA_NI,"{'a': 7.40625, 'b': 4.71875, 'c': 5.34375, 'd': 4.03125}","{'a': 0.8134018182754517, 'b': 0.05535268783569336, 'c': 0.1034124419093132, 'd': 0.027833079919219017}",0.8134018182754517,,,,,"Questions

1. How would a listener interpret the utterance literally?

a. Light as a feather.

b. Light as a feather.

c. Light as a feather.

d. Light as a feather.

2. Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?

a. Getting their friend off the ground took a lot of effort.

b. Their friend was very easy to lift.

c. They decided to go out for dinner with their friend.

d. The feather fell gently to the ground.

3. Which utterance",,
C1_04_A_I,C1_04,6,1,ambiguous,ironic,b,Holding my nephew took nothing of my strength.,Gpt2-1.5B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: I held my thin nephew in my arms.

Target utterance:
I said: """"Heavier than an elephant.""""

a. My nephew ate a burger that day.
b. Holding my nephew took nothing of my strength.
c. The elephant lumbered slowly across the plain.
d. Holding my nephew took all my strength.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","

Note: You are not required to answer the question with a letter from a–d.

Repeat this exercise for each story.

Answer the following questions in order:

1. Literal Listener (L0):

a. I held my nephew in my arms.

b. Holding my nephew took nothing of my strength.

c. The elephant lumbered slowly across the plain.

d. Holding my nephew took all my strength.

2. Informative Speaker (S1):

a. I held my nephew in my arms.

b. Holding my nephew took nothing of my strength.

c. The elephant lumbered slowly across the plain.
","['d', 'b', 'c', 'a']",2,A_I,"{'a': 8.5, 'b': 8.3125, 'c': 8.625, 'd': 6.875}","{'a': 0.3165469169616699, 'b': 0.26242661476135254, 'c': 0.3586946427822113, 'd': 0.06233178451657295}",0.3586946427822113,a,a,,,"Note: You are not required to answer the question with a letter from a–d.

Repeat this exercise for each story.

Answer the following questions in order:

1. Literal Listener (L0):

a. I held my nephew in my arms.

b. Holding my nephew took nothing of my strength.

c. The elephant lumbered slowly across the plain.

d. Holding my nephew took all my strength.

2. Informative Speaker (S1):

a. I held my nephew in my arms.

b. Holding my nephew took nothing of my strength.

c. The elephant lumbered slowly across the plain.",,
C1_05_A_NI,C1_05,52,1,ambiguous,non-ironic,c,The cake tasted really good.,Gpt2-1.5B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: She ate an unpleasant cake.

Target utterance:
She said: """"What an amazing flavour.""""

a. The cake had three candles on top.
b. The cake tasted really bad.
c. The cake tasted really good.
d. The soup smelled absolutely delicious

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","

Note: You will not be graded on the exact order in which you answer each question.

The correct answers for each question are shown in the answer boxes.

1. Literal Listener (L0):

a. The cake had three candles on top.

b. The cake tasted really bad.

c. The cake tasted really good.

d. The soup smelled absolutely delicious

2. Informative Speaker (S1):

a. The cake had three candles on top.

b. The cake tasted really bad.

c. The cake tasted really good.

d. The soup smelled absolutely delicious

3. Pragmatic Listener (","['d', 'b', 'a', 'c']",2,A_NI,"{'a': 9.0, 'b': 8.75, 'c': 8.6875, 'd': 8.375}","{'a': 0.32833412289619446, 'b': 0.25570687651634216, 'c': 0.24021439254283905, 'd': 0.17574459314346313}",0.32833412289619446,a,a,,,"Note: You will not be graded on the exact order in which you answer each question.

The correct answers for each question are shown in the answer boxes.

1. Literal Listener (L0):

a. The cake had three candles on top.

b. The cake tasted really bad.

c. The cake tasted really good.

d. The soup smelled absolutely delicious

2. Informative Speaker (S1):

a. The cake had three candles on top.

b. The cake tasted really bad.

c. The cake tasted really good.

d. The soup smelled absolutely delicious

3. Pragmatic Listener (",,
C1_06_UA_I,C1_06,266,1,unambiguous,ironic,d,The medicine tasted absolutely awful.,Gpt2-1.5B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: He swallowed the medicine and found it disgusting.

Target utterance:
He said: """"Tastier than expected.""""

a. The cake was tastier than expected.
b. The medicine tasted surprisingly pleasant.
c. He kept the medicine in the bathroom cabinet.
d. The medicine tasted absolutely awful.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","

4. Literal Reader (L1):

   Which utterance would a literal reader be most likely to choose, given the situations described in the answer options, assuming that a literal reader interprets them literally?

   Answer with a letter from a–d.

5. Informative Reader (S1):

   Which utterance would an informative reader be most likely to choose, given the situations described in the answer options, assuming that an informative reader interprets them literally?

   Answer with a letter from a–d.

6. Pragmatic Reader (L1):

   Which utterance would a pragmatic reader be most likely to choose, given","['c', 'a', 'd', 'b']",2,UA_I,"{'a': 8.625, 'b': 4.40625, 'c': 4.0625, 'd': 3.25}","{'a': 0.971077561378479, 'b': 0.014291376806795597, 'c': 0.010134104639291763, 'd': 0.004496980924159288}",0.971077561378479,,,,,"4. Literal Reader (L1):

   Which utterance would a literal reader be most likely to choose, given the situations described in the answer options, assuming that a literal reader interprets them literally?

   Answer with a letter from a–d.

5. Informative Reader (S1):

   Which utterance would an informative reader be most likely to choose, given the situations described in the answer options, assuming that an informative reader interprets them literally?

   Answer with a letter from a–d.

6. Pragmatic Reader (L1):

   Which utterance would a pragmatic reader be most likely to choose, given",,
C1_07_UA_NI,C1_07,11,1,unambiguous,non-ironic,b,The smoothie was thoroughly enjoyable.,Gpt2-1.5B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: I took a sip of my smoothie and found it disgusting.

Target utterance:
I said: """"What a treat.""""

a. The smoothie was thoroughly nasty.
b. The smoothie was thoroughly enjoyable.
c. She gave the dog a treat.
d. She was looking for a new smoothie recipe.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","

Note: This is a multiple choice quiz.

3. The Best of Both Worlds (T2)

You are completing a structured multiple-choice task. Read the passage and question, then choose the single best answer from the given options. Carefully follow the exact output format specified in the instructions below — do not add extra commentary, headers, or formatting beyond what is requested.

You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: I was walking home from work.

Target utterance:

I said: ""I have a feeling I'll be","['b', 'a', 'c', 'd']",2,UA_NI,"{'a': 8.3125, 'b': 5.84375, 'c': 6.28125, 'd': 5.78125}","{'a': 0.7719494700431824, 'b': 0.06537690758705139, 'c': 0.10125773400068283, 'd': 0.06141591817140579}",0.7719494700431824,,,,,"Note: This is a multiple choice quiz.

3. The Best of Both Worlds (T2)

You are completing a structured multiple-choice task. Read the passage and question, then choose the single best answer from the given options. Carefully follow the exact output format specified in the instructions below — do not add extra commentary, headers, or formatting beyond what is requested.

You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: I was walking home from work.

Target utterance:

I said: ""I have a feeling I'll be",,
C1_08_A_I,C1_08,121,1,ambiguous,ironic,a,They could barely force themselves to swallow the burger.,Gpt2-1.5B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They ate an unpleasant burger.

Target utterance:
They said: """"This burger tasted like heaven.""""

a. They could barely force themselves to swallow the burger.
b. The burger was the most expensive item on the menu.
c. They liked the burger more than the pizza.
d. They liked every single bite of the burger.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","

A. Literal Listener (L0):

a. They would have preferred a burger with a good story.

b. They would have preferred a burger with a good story.

c. They would have preferred a burger with a good story.

d. They would have preferred a burger with a good story.

B. Informative Speaker (S1):

a. They would have preferred a burger with a good story.

b. They would have preferred a burger with a good story.

c. They would have preferred a burger with a good story.

d. They would have preferred a burger with a good story.

C. Pragmatic","['b', 'c', 'd', 'a']",2,A_I,"{'a': 8.625, 'b': 7.28125, 'c': 7.78125, 'd': 6.875}","{'a': 0.53626948595047, 'b': 0.1398942619562149, 'c': 0.23064664006233215, 'd': 0.09318966418504715}",0.53626948595047,a,a,,,"A. Literal Listener (L0):

a. They would have preferred a burger with a good story.

b. They would have preferred a burger with a good story.

c. They would have preferred a burger with a good story.

d. They would have preferred a burger with a good story.

B. Informative Speaker (S1):

a. They would have preferred a burger with a good story.

b. They would have preferred a burger with a good story.

c. They would have preferred a burger with a good story.

d. They would have preferred a burger with a good story.

C. Pragmatic",,
C1_09_A_NI,C1_09,106,1,ambiguous,non-ironic,c,The babysitter was taking good care of the kids.,Gpt2-1.5B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They hired a scared babysitter.

Target utterance:
They said: """"The kids are not safe at all.""""

a. The babysitter was not taking good care of the kids.
b. The kids had very clean hands.
c. The babysitter was taking good care of the kids.
d. The babysitter parked her car outside.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","

Please choose the best answer.

You are reading a short story.

For each story, there are 3 possible interpretations (a,b,c,d).

Context: They hired a scared babysitter.

Target utterance:

They said: """"The kids are not safe at all.""""

a. The babysitter was not taking good care of the kids.

b. The kids had very clean hands.

c. The babysitter was taking good care of the kids.

d. The babysitter parked her car outside.

Answer the following questions in order:

1. Literal Listener (L0):

   How would a","['b', 'c', 'a', 'd']",2,A_NI,"{'a': 8.375, 'b': 7.0625, 'c': 7.125, 'd': 6.3125}","{'a': 0.5942522883415222, 'b': 0.15994083881378174, 'c': 0.1702561378479004, 'd': 0.07555070519447327}",0.5942522883415222,,,,,"Please choose the best answer.

You are reading a short story.

For each story, there are 3 possible interpretations (a,b,c,d).

Context: They hired a scared babysitter.

Target utterance:

They said: """"The kids are not safe at all.""""

a. The babysitter was not taking good care of the kids.

b. The kids had very clean hands.

c. The babysitter was taking good care of the kids.

d. The babysitter parked her car outside.

Answer the following questions in order:

1. Literal Listener (L0):

   How would a",,
C1_10_UA_I,C1_10,66,1,unambiguous,ironic,d,The police officer did not make them feel safe at all.,Gpt2-1.5B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They met a petrified police officer.

Target utterance:
They said: """"We felt so safe around you""""

a. The police officer made them feel very safe.
b. The police officer drank a cup of coffee.
c. They were sitting in a very safe seat.
d. The police officer did not make them feel safe at all.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","

4. Pragmatic Speaker (S2):

   Which utterance would a pragmatic speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?

   Answer with a letter from a–d.

5. Informative Speaker (L3):

   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?

   Answer with a letter from a–d.

6. Pragmatic Speaker (S3):

   Which utterance would a pragmatic speaker be most likely to choose, given the","['a', 'd', 'c', 'b']",2,UA_I,"{'a': 7.625, 'b': 3.9375, 'c': 3.84375, 'd': 3.21875}","{'a': 0.94336998462677, 'b': 0.02361680567264557, 'c': 0.021503346040844917, 'd': 0.0115099111571908}",0.94336998462677,,,,,"4. Pragmatic Speaker (S2):

   Which utterance would a pragmatic speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?

   Answer with a letter from a–d.

5. Informative Speaker (L3):

   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?

   Answer with a letter from a–d.

6. Pragmatic Speaker (S3):

   Which utterance would a pragmatic speaker be most likely to choose, given the",,
