Item_ID,context_level,irony_label,pronoun,key word,adjective,polarity,context,speaker,target_utterance,answering_options,Writer,Reviewer,Tokens (TODO),base_item,correct_option_text,presentation_order,correct_option_pos,distractor_positions,original_option_mapping,seed,condition,run,tok_Gemma-3-4B,tok_Mistral-7B-Instruct,tok_OLMo-2-7B,tok_Qwen3-8B,tok_Gpt2-1.5B,tok_Llama-3-8B
C1_01_A_I,ambiguous,ironic,He,cat,overweight,positive,He lifted the overweight cat from the table.,He said: ,"""That was easy!""","a. The exam was really easy.
b. He just got a great deal on a cat bed.
c. The cat was really hard to lift up.
d. The cat was easy to lift up.",Betti,,,C1_01,The cat was really hard to lift up.,113,c,"['a', 'b', 'd']","['c', 'd', 'b', 'a']",1,A_I,1,168,174,159,159,169,160
C1_02_A_NI,ambiguous,non-ironic,She,dog,overweight,positive,She picked up her overweight dog.,She said:,"""Heaviest dog ever.""","a. She just adopted a new dog.
b. The dog was really heavy to pick up.
c. The dog was very light to pick up.
d. It was the heaviest package she ever carried.",Betti,,,C1_02,The dog was really heavy to pick up.,63,b,"['a', 'c', 'd']","['d', 'a', 'b', 'c']",1,A_NI,1,166,174,158,158,167,159
C1_03_UA_I,unambiguous,ironic,They,friend,obese,positive,They lift their obese friend.,They said:,"""Light as a feather.""","a. Their friend was very easy to lift.
b. The feather fell gently to the ground.
c. They decided to go out for dinner with their friend.
d. Getting their friend off the ground took a lot of effort.",Betti,,,C1_03,Getting their friend off the ground took a lot of effort.,216,d,"['a', 'b', 'c']","['a', 'c', 'd', 'b']",1,UA_I,1,169,178,161,161,170,162
C1_04_UA_NI,unambiguous,non-ironic,I,nephew,obese,positive,I held my obese nephew in my arms.,I said:,"""Heavier than an elephant.""","a. Holding my nephew took nothing of my strength.
b. The elephant lumbered slowly across the plain.
c. My nephew ate a burger that day.
d. Holding my nephew took all my strength.",,,,C1_04,Holding my nephew took all my strength.,242,d,"['a', 'b', 'c']","['b', 'c', 'd', 'a']",1,UA_NI,1,168,185,160,160,169,161
C1_05_A_I,ambiguous,ironic,She,cake,palatable,positive,She ate a palatable cake.,She said:,"""What an amazing flavour.""","a. The cake tasted really good.
b. The cake had three candles on top.
c. The cake tasted really bad.
d. The soup smelled absolutely delicious",Betti,,,C1_05,The cake tasted really bad.,122,c,"['a', 'b', 'd']","['a', 'd', 'b', 'c']",1,A_I,1,155,166,149,149,157,150
C1_06_A_NI,ambiguous,non-ironic,He,medicine,palatable,positive,He swallowed the medicine and found it palatable,He said:,"""Tastier than expected.""","a. He kept the medicine in the bathroom cabinet.
b. The medicine tasted absolutely awful.
c. The medicine tasted surprisingly pleasant.
d. The cake was tastier than expected.",,,,C1_06,The medicine tasted surprisingly pleasant.,132,c,"['a', 'b', 'd']","['d', 'b', 'a', 'c']",1,A_NI,1,162,171,156,156,164,157
C1_07_UA_I,unambiguous,ironic,I,smoothie,delicious,positive,I took a sip of my smoothie and found it delicious.,I said:,"""What a treat.""","a. She gave the dog a treat.
b. The smoothie was thoroughly enjoyable.
c. The smoothie was thoroughly nasty.
d. She was looking for a new smoothie recipe.",,,,C1_07,The smoothie was thoroughly nasty.,249,c,"['a', 'b', 'd']","['c', 'a', 'b', 'd']",1,UA_I,1,163,173,159,159,168,160
C1_08_UA_NI,unambiguous,non-ironic,They,burger,delicious ,positive,They ate a delicious burger.,They said:,"""This burger tasted like heaven.""","a. They liked every single bite of the burger.
b. They liked the burger more than the pizza.
c. The burger was the most expensive item on the menu.
d. They could barely force themselves to swallow the burger.",,,,C1_08,They liked every single bite of the burger.,96,a,"['b', 'c', 'd']","['a', 'd', 'c', 'b']",1,UA_NI,1,170,183,162,162,171,163
C1_09_A_I,ambiguous,ironic,They,babysitter,fearless,positive,They hired a fearless babysitter.,They said:,"""The kids are not safe at all.""","a. The babysitter was not taking good care of the kids.
b. The babysitter was taking good care of the kids.
c. The babysitter parked her car outside.
d. The kids had very clean hands.",Betti,,,C1_09,The babysitter was not taking good care of the kids.,218,a,"['b', 'c', 'd']","['b', 'a', 'd', 'c']",1,A_I,1,172,183,164,164,173,165
C1_10_A_NI,ambiguous,non-ironic,They,police officer,fearless,positive,They met a fearless police officer.,They said:,"""We felt so safe around you""","a. The police officer drank a cup of coffee.
b. They were sitting in a very safe seat.
c. The police officer did not make them feel safe at all.
d. The police officer made them feel very safe.",Betti,,,C1_10,The police officer made them feel very safe.,288,d,"['a', 'b', 'c']","['d', 'c', 'b', 'a']",1,A_NI,1,172,178,163,163,173,164
C1_11_UA_I,unambiguous,ironic,She,pilot,brave,positive,She noticed the brave pilot before boarding.,She said:,"""That really shook me up.""","a. She dated a pilot for several months.
b. Seeing the pilot put her completely at ease.
c. She settled into her seat and fastened the belt.
d. Seeing the pilot made her feel even more anxious.",Betti,,,C1_11,Seeing the pilot made her feel even more anxious.,58,d,"['a', 'b', 'c']","['d', 'a', 'c', 'b']",1,UA_I,1,170,180,163,163,172,164
C1_12_UA_NI,unambiguous,non-ironic,He,Father,brave,positive,He saw his brave father.,He said:,"""Brave as a lion""","a. His father wore a blue jacket.
b. His father showed no fear at all.
c. The lion prowled across the savannah.
d. His father's face was full of fear.",,,,C1_12,His father showed no fear at all.,128,b,"['a', 'c', 'd']","['d', 'a', 'c', 'b']",1,UA_NI,1,164,171,155,155,164,156
C1_13_A_I,ambiguous,ironic,He,girlfriend,energetic,positive,He saw his energetic girlfriend.,He said:,"""You look like you've been awake since birth.""","a. His girlfriend clearly looked worn out, not refreshed at all.
b. He was planning to surprise his girlfriend with a home-cooked meal.
c. To him, his girlfriend looked well-rested and full of energy.
d. He had just bought her a refreshing cold drink.",Betti,,,C1_13,"His girlfriend clearly looked worn out, not refreshed at all.",102,a,"['b', 'c', 'd']","['b', 'd', 'a', 'c']",1,A_I,1,187,197,177,177,187,178
C1_14_A_NI,ambiguous,non-ironic,She,collegue,energetic,positive,She saw her energetic colleague.,She said:,"""You seem so full of energy today.""","a. She was redecorating the office of her colleague.
b. She filled up the car with energy.
c. Her colleague seemed very tired today.
d. Her colleague seemed very energetic today.",Betti,,,C1_14,Her colleague seemed very energetic today.,135,d,"['a', 'b', 'c']","['d', 'c', 'b', 'a']",1,A_NI,1,166,178,158,158,168,159
