Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,option_logits_raw,confidence_dist,confidence_top_prob,rsa_l0,rsa_s1,rsa_l1,rsa_final,rsa_raw_text,chosen_option,chosen_original_option
C1_01_A_I,C1_01,113,1,ambiguous,ironic,c,The cat was really hard to lift up.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: He lifted the overweight cat from the table.

Target utterance:
He said:  """"That was easy!""""

a. The exam was really easy.
b. He just got a great deal on a cat bed.
c. The cat was really hard to lift up.
d. The cat was easy to lift up.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. Literal Listener (L0):
   d. The cat was easy to lift up.

2. Informative Speaker (S1):
   d. The cat was easy to lift up. (This is the most accurate and literal interpretation of the situation described.)

3. Pragmatic Listener (L1):
   d. The cat was easy to lift up. (Given that the speaker is informative, they would choose the most appropriate utterance for the situation, which is the same as the Literal Listener's answer.)

Final Answer: d. The cat was easy to lift up.","['c', 'd', 'b', 'a']",1,A_I,"{'a': 9.8125, 'b': 5.625, 'c': 6.25, 'd': 14.375}","{'a': 0.010323508642613888, 'b': 0.0001567541912663728, 'c': 0.00029285537311807275, 'd': 0.9892268180847168}",0.9892268180847168,d,d,d,d,"1. Literal Listener (L0):
   d. The cat was easy to lift up.

2. Informative Speaker (S1):
   d. The cat was easy to lift up. (This is the most accurate and literal interpretation of the situation described.)

3. Pragmatic Listener (L1):
   d. The cat was easy to lift up. (Given that the speaker is informative, they would choose the most appropriate utterance for the situation, which is the same as the Literal Listener's answer.)

Final Answer: d. The cat was easy to lift up.",d,a
C1_02_A_NI,C1_02,63,1,ambiguous,non-ironic,b,The dog was really heavy to pick up.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: She picked up her overweight dog.

Target utterance:
She said: """"Heaviest dog ever.""""

a. She just adopted a new dog.
b. The dog was really heavy to pick up.
c. The dog was very light to pick up.
d. It was the heaviest package she ever carried.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. Literal Listener (L0):
   b. The dog was really heavy to pick up.

2. Informative Speaker (S1):
   b. The dog was really heavy to pick up.

3. Pragmatic Listener (L1):
   b. The dog was really heavy to pick up.","['d', 'a', 'b', 'c']",1,A_NI,"{'a': 9.4375, 'b': 22.625, 'c': 7.96875, 'd': 7.40625}","{'a': 1.873873998192721e-06, 'b': 0.9999973773956299, 'c': 4.313902763897204e-07, 'd': 2.457987591242272e-07}",0.9999973773956299,b,b,b,,"1. Literal Listener (L0):
   b. The dog was really heavy to pick up.

2. Informative Speaker (S1):
   b. The dog was really heavy to pick up.

3. Pragmatic Listener (L1):
   b. The dog was really heavy to pick up.",,
C1_03_UA_I,C1_03,216,1,unambiguous,ironic,d,Getting their friend off the ground took a lot of effort.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They lift their obese friend.

Target utterance:
They said: """"Light as a feather.""""

a. Their friend was very easy to lift.
b. The feather fell gently to the ground.
c. They decided to go out for dinner with their friend.
d. Getting their friend off the ground took a lot of effort.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. Literal Listener (L0):
   a. Their friend was very easy to lift.

2. Informative Speaker (S1):
   d. Getting their friend off the ground took a lot of effort. (This is the least likely interpretation, as the utterance ""Light as a feather"" would not typically be used to describe something that took a lot of effort.)

3. Pragmatic Listener (L1):
   a. Their friend was very easy to lift. (Given that the speaker is informative and would choose an utterance that is most appropriate for the situation, they would likely say that their friend was easy to lift, as that is the","['a', 'c', 'd', 'b']",1,UA_I,"{'a': 20.75, 'b': 7.8125, 'c': 8.1875, 'd': 8.0625}","{'a': 0.9999910593032837, 'b': 2.4060866508079926e-06, 'c': 3.5008351915166713e-06, 'd': 3.089476422246662e-06}",0.9999910593032837,a,d,a,,"1. Literal Listener (L0):
   a. Their friend was very easy to lift.

2. Informative Speaker (S1):
   d. Getting their friend off the ground took a lot of effort. (This is the least likely interpretation, as the utterance ""Light as a feather"" would not typically be used to describe something that took a lot of effort.)

3. Pragmatic Listener (L1):
   a. Their friend was very easy to lift. (Given that the speaker is informative and would choose an utterance that is most appropriate for the situation, they would likely say that their friend was easy to lift, as that is the",,
C1_04_UA_NI,C1_04,242,1,unambiguous,non-ironic,d,Holding my nephew took all my strength.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: I held my obese nephew in my arms.

Target utterance:
I said: """"Heavier than an elephant.""""

a. Holding my nephew took nothing of my strength.
b. The elephant lumbered slowly across the plain.
c. My nephew ate a burger that day.
d. Holding my nephew took all my strength.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. Literal Listener (L0):
   d. Holding my nephew took all my strength.

2. Informative Speaker (S1):
   d. Holding my nephew took all my strength. (This option is the most literal interpretation of the utterance ""Heavier than an elephant."")

3. Pragmatic Listener (L1):
   d. Holding my nephew took all my strength. (Given that the speaker is informative, they would choose the most literal and appropriate utterance for the situation described.)

Final Answer: d. Holding my nephew took all my strength.","['b', 'c', 'd', 'a']",1,UA_NI,"{'a': 9.8125, 'b': 6.21875, 'c': 7.03125, 'd': 14.8125}","{'a': 0.0066888462752103806, 'b': 0.00018391002959106117, 'c': 0.0004144476552028209, 'd': 0.9927127957344055}",0.9927127957344055,d,d,d,d,"1. Literal Listener (L0):
   d. Holding my nephew took all my strength.

2. Informative Speaker (S1):
   d. Holding my nephew took all my strength. (This option is the most literal interpretation of the utterance ""Heavier than an elephant."")

3. Pragmatic Listener (L1):
   d. Holding my nephew took all my strength. (Given that the speaker is informative, they would choose the most literal and appropriate utterance for the situation described.)

Final Answer: d. Holding my nephew took all my strength.",d,a
C1_05_A_I,C1_05,122,1,ambiguous,ironic,c,The cake tasted really bad.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: She ate a palatable cake.

Target utterance:
She said: """"What an amazing flavour.""""

a. The cake tasted really good.
b. The cake had three candles on top.
c. The cake tasted really bad.
d. The soup smelled absolutely delicious

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. Literal Listener (L0):
   a. The cake tasted really good.

2. Informative Speaker (S1):
   a. The cake tasted really good. (Since the story mentions that she ate a palatable cake, an informative speaker would likely comment on the taste of the cake.)

3. Pragmatic Listener (L1):
   a. The cake tasted really good. (Given that the speaker is informative, they would choose the most appropriate utterance to describe the situation, which is commenting on the taste of the cake.)

Final Answer: a. The cake tasted really good.","['a', 'd', 'b', 'c']",1,A_I,"{'a': 16.25, 'b': 6.1875, 'c': 6.84375, 'd': 5.9375}","{'a': 0.9998418092727661, 'b': 4.264253948349506e-05, 'c': 8.219564915634692e-05, 'd': 3.321004624012858e-05}",0.9998418092727661,a,a,a,a,"1. Literal Listener (L0):
   a. The cake tasted really good.

2. Informative Speaker (S1):
   a. The cake tasted really good. (Since the story mentions that she ate a palatable cake, an informative speaker would likely comment on the taste of the cake.)

3. Pragmatic Listener (L1):
   a. The cake tasted really good. (Given that the speaker is informative, they would choose the most appropriate utterance to describe the situation, which is commenting on the taste of the cake.)

Final Answer: a. The cake tasted really good.",a,a
C1_06_A_NI,C1_06,132,1,ambiguous,non-ironic,c,The medicine tasted surprisingly pleasant.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: He swallowed the medicine and found it palatable

Target utterance:
He said: """"Tastier than expected.""""

a. He kept the medicine in the bathroom cabinet.
b. The medicine tasted absolutely awful.
c. The medicine tasted surprisingly pleasant.
d. The cake was tastier than expected.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. Literal Listener (L0):
   c. The medicine tasted surprisingly pleasant.

2. Informative Speaker (S1):
   c. The medicine tasted surprisingly pleasant. (This is the most accurate description of the situation, as the speaker found the medicine palatable.)

3. Pragmatic Listener (L1):
   c. The medicine tasted surprisingly pleasant. (Given that the speaker is informative, they would choose the most accurate and relevant utterance for the situation.)

Final Answer: c. The medicine tasted surprisingly pleasant.","['d', 'b', 'a', 'c']",1,A_NI,"{'a': 8.9375, 'b': 6.0, 'c': 15.625, 'd': 6.0}","{'a': 0.001244678976945579, 'b': 6.596557068405673e-05, 'c': 0.9986233711242676, 'd': 6.596557068405673e-05}",0.9986233711242676,c,c,c,c,"1. Literal Listener (L0):
   c. The medicine tasted surprisingly pleasant.

2. Informative Speaker (S1):
   c. The medicine tasted surprisingly pleasant. (This is the most accurate description of the situation, as the speaker found the medicine palatable.)

3. Pragmatic Listener (L1):
   c. The medicine tasted surprisingly pleasant. (Given that the speaker is informative, they would choose the most accurate and relevant utterance for the situation.)

Final Answer: c. The medicine tasted surprisingly pleasant.",c,a
C1_07_UA_I,C1_07,249,1,unambiguous,ironic,c,The smoothie was thoroughly nasty.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: I took a sip of my smoothie and found it delicious.

Target utterance:
I said: """"What a treat.""""

a. She gave the dog a treat.
b. The smoothie was thoroughly enjoyable.
c. The smoothie was thoroughly nasty.
d. She was looking for a new smoothie recipe.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. Literal Listener (L0):
   b. The smoothie was thoroughly enjoyable.

2. Informative Speaker (S1):
   b. The smoothie was thoroughly enjoyable.

3. Pragmatic Listener (L1):
   b. The smoothie was thoroughly enjoyable.","['c', 'a', 'b', 'd']",1,UA_I,"{'a': 9.8125, 'b': 22.625, 'c': 7.78125, 'd': 7.71875}","{'a': 2.7264684376859805e-06, 'b': 0.999996542930603, 'c': 3.5763480354944477e-07, 'd': 3.359668028224405e-07}",0.999996542930603,b,b,b,,"1. Literal Listener (L0):
   b. The smoothie was thoroughly enjoyable.

2. Informative Speaker (S1):
   b. The smoothie was thoroughly enjoyable.

3. Pragmatic Listener (L1):
   b. The smoothie was thoroughly enjoyable.",,
C1_08_UA_NI,C1_08,96,1,unambiguous,non-ironic,a,They liked every single bite of the burger.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They ate a delicious burger.

Target utterance:
They said: """"This burger tasted like heaven.""""

a. They liked every single bite of the burger.
b. They liked the burger more than the pizza.
c. The burger was the most expensive item on the menu.
d. They could barely force themselves to swallow the burger.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. Literal Listener (L0):
   a. They liked every single bite of the burger.

2. Informative Speaker (S1):
   a. They liked every single bite of the burger. (Since the speaker is informative, they would choose the utterance that directly reflects their opinion about the burger.)

3. Pragmatic Listener (L1):
   a. They liked every single bite of the burger. (Since the speaker is informative, they would choose the utterance that directly reflects their opinion about the burger, and a pragmatic listener would understand this.)","['a', 'd', 'c', 'b']",1,UA_NI,"{'a': 21.625, 'b': 7.15625, 'c': 7.15625, 'd': 8.75}","{'a': 0.999996542930603, 'b': 5.203555701882578e-07, 'c': 5.203555701882578e-07, 'd': 2.5612798708607443e-06}",0.999996542930603,a,a,a,,"1. Literal Listener (L0):
   a. They liked every single bite of the burger.

2. Informative Speaker (S1):
   a. They liked every single bite of the burger. (Since the speaker is informative, they would choose the utterance that directly reflects their opinion about the burger.)

3. Pragmatic Listener (L1):
   a. They liked every single bite of the burger. (Since the speaker is informative, they would choose the utterance that directly reflects their opinion about the burger, and a pragmatic listener would understand this.)",,
C1_09_A_I,C1_09,218,1,ambiguous,ironic,a,The babysitter was not taking good care of the kids.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They hired a fearless babysitter.

Target utterance:
They said: """"The kids are not safe at all.""""

a. The babysitter was not taking good care of the kids.
b. The babysitter was taking good care of the kids.
c. The babysitter parked her car outside.
d. The kids had very clean hands.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. Literal Listener (L0):
   The babysitter was not taking good care of the kids.

2. Informative Speaker (S1):
   The speaker would most likely choose ""The babysitter was not taking good care of the kids."" (a) as it is the only option that directly relates to the statement ""They said: """"The kids are not safe at all.""""""

3. Pragmatic Listener (L1):
   A pragmatic listener would also interpret the utterance as ""The babysitter was not taking good care of the kids."" (a) because it is the most appropriate response given the context that they hired a fearless","['b', 'a', 'd', 'c']",1,A_I,"{'a': 20.625, 'b': 7.0, 'c': 7.28125, 'd': 7.125}","{'a': 0.9999958276748657, 'b': 1.209862148243701e-06, 'c': 1.6028068330342649e-06, 'd': 1.3709534414374502e-06}",0.9999958276748657,,,a,,"1. Literal Listener (L0):
   The babysitter was not taking good care of the kids.

2. Informative Speaker (S1):
   The speaker would most likely choose ""The babysitter was not taking good care of the kids."" (a) as it is the only option that directly relates to the statement ""They said: """"The kids are not safe at all.""""""

3. Pragmatic Listener (L1):
   A pragmatic listener would also interpret the utterance as ""The babysitter was not taking good care of the kids."" (a) because it is the most appropriate response given the context that they hired a fearless",,
C1_10_A_NI,C1_10,288,1,ambiguous,non-ironic,d,The police officer made them feel very safe.,Mistral-7B-Instruct,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They met a fearless police officer.

Target utterance:
They said: """"We felt so safe around you""""

a. The police officer drank a cup of coffee.
b. They were sitting in a very safe seat.
c. The police officer did not make them feel safe at all.
d. The police officer made them feel very safe.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. Literal Listener (L0):
   d. The police officer made them feel very safe.

2. Informative Speaker (S1):
   d. The police officer made them feel very safe. (This is the only option that matches the utterance and the situation described in the passage.)

3. Pragmatic Listener (L1):
   d. The police officer made them feel very safe. (Given that the speaker is informative, they would choose the option that accurately reflects the situation described in the passage.)

Final Answer: d. The police officer made them feel very safe.","['d', 'c', 'b', 'a']",1,A_NI,"{'a': 9.3125, 'b': 6.21875, 'c': 6.25, 'd': 15.0}","{'a': 0.0033755626063793898, 'b': 0.00015301979146897793, 'c': 0.00015787714801263064, 'd': 0.9963135123252869}",0.9963135123252869,d,d,d,d,"1. Literal Listener (L0):
   d. The police officer made them feel very safe.

2. Informative Speaker (S1):
   d. The police officer made them feel very safe. (This is the only option that matches the utterance and the situation described in the passage.)

3. Pragmatic Listener (L1):
   d. The police officer made them feel very safe. (Given that the speaker is informative, they would choose the option that accurately reflects the situation described in the passage.)

Final Answer: d. The police officer made them feel very safe.",d,a
