item_id,context_level,irony_label,irony_type,context_type,topic,pronoun,tense,context,target_utterance,Tokens,Notes,tok_Gemma-3-4B,tok_Mistral-7B-Instruct,tok_OLMo-2-7B,tok_Qwen3-8B,tok_ModernBERT-8B,tok_Llama-3-8B,cg_level,cg_framing,Explicit_sentence
C1B_01_L_I,ambiguous,ironic,PC,situational,work presentation,she,past perfect,She had been preparing for the presentation and was due to meet with a new client.,That went really smoothly.,,,42,47,41,41,47,42,,,
C1B_01_L_N,ambiguous,non-ironic,PC,situational,work presentation,she,past perfect,She had been working on the presentation and had a meeting with the client scheduled.,That went really smoothly.,,,41,46,40,40,46,41,,,
C1B_01_H_I,unambiguous,ironic,PC,situational,work presentation,she,past perfect,Her slides had crashed halfway through and the client had walked out early.,That went really smoothly.,,,39,44,38,38,44,39,,,
C1B_01_H_N,unambiguous,non-ironic,PC,situational,work presentation,she,past perfect,Her manager had liked every slide and the client had signed the contract immediately.,That went really smoothly.,,,40,45,39,39,45,40,,,
C1B_02_L_I,ambiguous,ironic,US,situational,job interview,he,past perfect,He had taken a full morning off work to attend an interview across the city.,Well that was certainly a morning well spent.,,,45,50,44,44,50,45,,,
C1B_02_L_N,ambiguous,non-ironic,US,situational,job interview,he,past perfect,He had been invited for a second-round interview and had taken the morning off to attend.,Well that was certainly a morning well spent.,,,48,53,46,46,53,47,,,
C1B_02_H_I,unambiguous,ironic,US,situational,job interview,he,past perfect,He had waited two hours and then been told the role had already been filled.,Well that was certainly a morning well spent.,,,45,50,44,44,50,45,,,
C1B_02_H_N,unambiguous,non-ironic,US,situational,job interview,he,past perfect,The interviewer had offered him the position on the spot and shaken his hand warmly.,Well that was certainly a morning well spent.,,,45,53,44,44,52,45,,,
C1B_03_L_I,ambiguous,ironic,EV,situational,restaurant meal,they,past simple,They had ordered several courses and waited for the food to arrive.,That met every expectation.,,,38,43,37,37,43,38,,,
C1B_03_L_N,ambiguous,non-ironic,EV,situational,restaurant meal,they,past simple,They had ordered several dishes and stayed for the full three courses. ,That met every expectation.,,,39,44,38,38,43,39,,,
C1B_03_H_I,unambiguous,ironic,EV,situational,restaurant meal,they,past simple,The food arrived cold and the waiter spilled soup on their jackets.,That met every expectation.,,,38,46,37,37,44,38,,,
C1B_03_H_N,unambiguous,non-ironic,EV,situational,restaurant meal,they,past simple,The food was fresh and beautifully presented and the service was good. ,That met every expectation.,,,39,44,38,38,43,39,,,
