item_id,cg_level,irony_label,context_type,topic,pronoun,tense,context,cg_framing,Explicit_sentence,target_utterance
C2_01_H_I,high,ironic,situational,work presentation,she,past perfect,Her slides had crashed halfway through and the client had walked out early.,Her colleague had been sitting in the back row and had watched the whole thing unfold.,Her colleague was in the room. She says:,That went really smoothly.
C2_01_L_I,low,ironic,situational,work presentation,she,past perfect,Her slides had crashed halfway through and the client had walked out early.,She mentioned it afterwards to a friend who had spent the day working from home.,,That went really smoothly.
C2_01_H_N,high,non-ironic,situational,work presentation,she,past perfect,Her manager had praised every slide and the client had signed the contract immediately.,Her colleague had been in the room throughout and had seen how well it had gone.,,That went really smoothly.
C2_01_L_N,low,non-ironic,situational,work presentation,she,past perfect,Her manager had praised every slide and the client had signed the contract immediately.,She mentioned it later to a contact she had only just met at a networking event.,,That went really smoothly.
C2_02_H_I,high,ironic,situational,job interview,he,past perfect,He had waited two hours and then been told the role had already been filled.,His flatmate had driven him there and had been waiting outside the whole time.,,That was a great use of my time.
C2_02_L_I,low,ironic,situational,job interview,he,past perfect,He had waited two hours and then been told the role had already been filled.,He texted a cousin abroad who had no idea he had even applied for the job.,,That was a great use of my time.
C2_02_H_N,high,non-ironic,situational,job interview,he,past perfect,The interviewer had offered him the position on the spot and shaken his hand warmly.,His flatmate had been waiting outside and had heard the good news the moment he emerged.,,That was a great use of my time.
C2_02_L_N,low,non-ironic,situational,job interview,he,past perfect,The interviewer had offered him the position on the spot and shaken his hand warmly.,He texted a cousin abroad who had no idea he had even been to an interview.,,That was a great use of my time.
C2_03_H_I,high,ironic,situational,restaurant meal,they,past simple,The food arrived cold and the waiter spilled soup on their jackets.,Both of them had been at the table together and neither had managed to finish their plate.,,I really enjoyed that meal.
C2_03_L_I,low,ironic,situational,restaurant meal,they,past simple,The food arrived cold and the waiter spilled soup on their jackets.,One of them described it to a colleague who had not been there and knew nothing about it.,,I really enjoyed that meal.
C2_03_H_N,high,non-ironic,situational,restaurant meal,they,past simple,The food was fresh and beautifully presented and the service was impeccable.,Both of them had shared the same meal and had already agreed it was one of the best they had tried.,,I really enjoyed that meal.
C2_03_L_N,low,non-ironic,situational,restaurant meal,they,past simple,The food was fresh and beautifully presented and the service was impeccable.,One of them described it to a colleague who had not been there and knew nothing about it.,,I really enjoyed that meal.
C2_04_H_I,high,ironic,situational,flight journey,she,past simple,The gate changed twice and the flight was delayed by three hours.,Her travel companion had been through the same ordeal and did not need any explanation.,,What a smooth flight.
C2_04_L_I,low,ironic,situational,flight journey,she,past simple,The gate changed twice and the flight was delayed by three hours.,"She told her neighbour at home, who had no idea she had even travelled that day.",,What a smooth flight.
C2_04_H_N,high,non-ironic,situational,flight journey,she,past simple,They boarded on time and she collected her bags within minutes of landing.,Her travel companion had been beside her the whole way and already knew how well it had gone.,,What a smooth flight.
C2_04_L_N,low,non-ironic,situational,flight journey,she,past simple,They boarded on time and she collected her bags within minutes of landing.,"She told her neighbour at home, who had no idea she had even been on a trip.",,What a smooth flight.
C2_05_H_I,high,ironic,situational,customer support call,he,past perfect,He had been transferred three times and then disconnected without a resolution.,His partner had overheard the whole call from the next room and already knew exactly what had happened.,,That was incredibly helpful.
C2_05_L_I,low,ironic,situational,customer support call,he,past perfect,He had been transferred three times and then disconnected without a resolution.,He mentioned it to an acquaintance who had no knowledge of his situation or the problem he had called about.,,That was incredibly helpful.
C2_05_H_N,high,non-ironic,situational,customer support call,he,past perfect,The agent had resolved the issue in five minutes and sent a confirmation email straight away.,His partner had been sitting next to him and had heard the whole conversation play out.,,That was incredibly helpful.
C2_05_L_N,low,non-ironic,situational,customer support call,he,past perfect,The agent had resolved the issue in five minutes and sent a confirmation email straight away.,He mentioned it to an acquaintance who had no knowledge of his situation or the problem he had called about.,,That was incredibly helpful.
