Item_ID,context_level,irony_label,pronoun,key word,adjective,polarity,context,speaker,target_utterance,answering_options,Writer,Reviewer,Tokens (TODO)
"C1_01_A_I
",ambiguous,ironic,He,cat,overweight,positive,He lifted the overweight cat from the table.,He said: ,"""That was easy!""","a. The cat was easy to lift up.
b. The cat was really hard to lift up.
c. The exam was really easy.
d. He just got a great deal on a cat bed.",Betti,,
C1_01_A_NI,ambiguous,non-ironic,He,cat,thin,negative,He lifted the thin cat from the table.,He said: ,"""That was easy!""","a. The cat was easy to lift up.
b. The cat was really hard to lift up.
c. The exam was really easy.
d. He just got a great deal on a cat bed.",Betti,,
C1_01_UA_I,unambiguous,ironic,He,cat,obese,positive,He lifted the obese cat from the table.,He said: ,"""That was easy!""","a. The cat was easy to lift up.
b. The cat was really hard to lift up.
c. The exam was really easy.
d. He just got a great deal on a cat bed.",Betti,,
C1_01_UA_NI,unambiguous,non-ironic,He,cat,skinny,negative,He lifted the skinny cat from the table.,He said: ,"""That was easy!""","a. The cat was easy to lift up.
b. The cat was really hard to lift up.
c. The exam was really easy.
d. He just got a great deal on a cat bed.",Betti,,
C1_02_A_I,ambiguous,ironic,She,dog,thin,negative,She picked up her thin dog.,She said:,"""Heaviest dog ever.""","a. The dog was really heavy to lift
b. The dog was very light to lift.
c. It was the heaviest package she ever carried.
d. She just adopted a new dog.",Betti,,
C1_02_A_NI,ambiguous,non-ironic,She,dog,overweight,positive,She picked up her overweight dog.,She said:,"""Heaviest dog ever.""","a. The dog was really heavy to pick up.
b. The dog was very light to pick up.
c. It was the heaviest package she ever carried.
d. She just adopted a new dog.",Betti,,
C1_02_UA_I,unambiguous,ironic,She,dog,skinny,negative,She picked up her skinny dog.,She said:,"""Heaviest dog ever.""","a. The dog was really heavy to pick up.
b. The dog was very light to pick up.
c. It was the heaviest package she ever carried.
d. She just adopted a new dog.",Betti,,
C1_02_UA_NI,unambiguous,non-ironic,She,dog,obese,positive,She picked up her obese dog.,She said:,"""Heaviest dog ever.""","a. The dog was really heavy to pick up.
b. The dog was very light to pick up.
c. It was the heaviest package she ever carried.
d. She just adopted a new dog.",Betti,,
"C1_03_A_I
",ambiguous,ironic,They,friend,overweight,positive,They lift their overweight friend.,They said:,"""Light as a feather.""","a. Their friend was very easy to lift.
b. Their friend was hard to lift.
c. The feather fell gently to the ground.
d. They decided to go out for dinner with their friend.",Betti,,
C1_03_A_NI,ambiguous,non-ironic,They,friend,thin,negative,They lift their thin friend.,They said:,"""Light as a feather.""","a. Their friend was very easy to lift.
b. Getting their friend off the ground took a lot of effort.
c. The feather fell gently to the ground.
d. They decided to go out for dinner with their friend.",Betti,,
