Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,option_logits_raw,confidence_dist,confidence_top_prob,chosen_option,reasoning,chosen_original_option
C1_01_UA_I,C1_01,196,1,unambiguous,ironic,a,The cat was really hard to lift up.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He lifted the obese cat from the table.
Target utterance: He said:  """"That was easy!""""
What meaning is He most likely conveying?
a. The cat was really hard to lift up.
b. The cat was easy to lift up.
c. He just got a great deal on a cat bed.
d. The exam was really easy.
Answer:
","
a. He said: ""That was easy!""

b. He said: ""That was easy!""

c. He said: ""That was easy!""

d. He said: ""That was easy!""

Context: He was walking down the street.

Target utterance: He said: ""I'm going to the store.""

What meaning is He most likely conveying?

a. He was going to the store.

b. He was going to the store.

c. He was going to the store.

d. He was going to the store.

Answer:

a. He said: ""I'm going to the store.""
","['b', 'a', 'd', 'c']",3,UA_I,"{'a': 8.9375, 'b': 8.875, 'c': 8.5, 'd': 8.9375}","{'a': 0.2789352536201477, 'b': 0.26203542947769165, 'c': 0.1800941377878189, 'd': 0.2789352536201477}",0.2789352536201477,a,,b
C1_02_UA_NI,C1_02,267,1,unambiguous,non-ironic,d,The dog was really heavy to pick up.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She picked up her obese dog.
Target utterance: She said: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
a. The dog was very light to pick up.
b. She just adopted a new dog.
c. It was the heaviest package she ever carried.
d. The dog was really heavy to pick up.
Answer:
","
a. She picked up the dog because it was the heaviest.
b. She picked up the dog because it was the heaviest.
c. She picked up the dog because it was the heaviest.
d. She picked up the dog because it was the heaviest.
Context: She picked up her obese dog.
Target utterance: She said: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
a. The dog was very light to pick up.
b. She just adopted a new dog.
c. It was the heaviest package she ever carried.
d. The dog was really heavy to pick up.
Answer:

a. She picked up the dog because","['b', 'd', 'c', 'a']",3,UA_NI,"{'a': 7.3125, 'b': 7.09375, 'c': 7.59375, 'd': 7.59375}","{'a': 0.22456306219100952, 'b': 0.1804414838552475, 'c': 0.2974977195262909, 'd': 0.2974977195262909}",0.2974977195262909,a,,b
C1_03_A_I,C1_03,93,1,ambiguous,ironic,c,Their friend was hard to lift.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They lift their overweight friend.
Target utterance: They said: """"Light as a feather.""""
What meaning is They most likely conveying?
a. The feather fell gently to the ground.
b. They decided to go out for dinner with their friend.
c. Their friend was hard to lift.
d. Their friend was very easy to lift.
Answer:
","
a. They lifted their friend.

b. They decided to go out for dinner with their friend.

c. Their friend was easy to lift.

d. Their friend was very easy to lift.

Context: They are walking down the street.

Target utterance: ""I'm going to the store.""

What meaning is They most likely conveying?

a. I'm going to the store.

b. I'm going to the store.

c. I'm going to the store.

d. I'm going to the store.

Answer:

a. I'm going to the store.

b. I'm going to the","['c', 'd', 'b', 'a']",3,A_I,"{'a': 8.0, 'b': 7.125, 'c': 6.5625, 'd': 6.75}","{'a': 0.5152281522750854, 'b': 0.2147790491580963, 'c': 0.122377410531044, 'd': 0.14761534333229065}",0.5152281522750854,a,,c
C1_04_A_NI,C1_04,180,1,ambiguous,non-ironic,d,Holding my nephew took all my strength.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I held my overweight nephew in my arms.
Target utterance: I said: """"Heavier than an elephant.""""
What meaning is I most likely conveying?
a. My nephew ate a burger that day.
b. Holding my nephew took nothing of my strength.
c. The elephant lumbered slowly across the plain.
d. Holding my nephew took all my strength.
Answer:
","
a. I said: ""Heavier than an elephant.""

b. Holding my nephew took nothing of my strength.

c. The elephant lumbered slowly across the plain.

d. Holding my nephew took all my strength.

Context: I was walking down the street.

Target utterance: I said: ""I was walking down the street.""

What meaning is I most likely conveying?

a. I was walking down the street.

b. I was walking down the street.

c. I was walking down the street.

d. I was walking down the street.

Answer:

a. I said: ""I was walking down","['d', 'b', 'c', 'a']",3,A_NI,"{'a': 8.0625, 'b': 7.15625, 'c': 6.90625, 'd': 7.375}","{'a': 0.4501398503780365, 'b': 0.18187293410301208, 'c': 0.14164277911186218, 'd': 0.2263445258140564}",0.4501398503780365,a,,d
C1_05_UA_I,C1_05,10,1,unambiguous,ironic,a,The cake tasted really bad.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She ate a delicious cake.
Target utterance: She said: """"What an amazing flavour.""""
What meaning is She most likely conveying?
a. The cake tasted really bad.
b. The cake tasted really good.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.
Answer:
","
a. b. c. d.

Context: She was in a hurry.

Target utterance: She said: ""I'm in a hurry.""

What meaning is She most likely conveying?

a. She was in a hurry.

b. She was in a hurry.

c. She was in a hurry.

d. She was in a hurry.

Answer:

a. b. c. d.

Context: She was in a hurry.

Target utterance: She said: ""I'm in a hurry.""

What meaning is She most likely conveying?

a. She was in a hurry.

b","['b', 'a', 'c', 'd']",3,UA_I,"{'a': 9.375, 'b': 9.75, 'c': 9.875, 'd': 9.8125}","{'a': 0.17691153287887573, 'b': 0.25740474462509155, 'c': 0.2916778028011322, 'd': 0.2740059494972229}",0.2916778028011322,a,,b
C1_06_UA_NI,C1_06,227,1,unambiguous,non-ironic,c,The medicine tasted surprisingly pleasant.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He swallowed the medicine and found it delicious.
Target utterance: He said: """"Tastier than expected.""""
What meaning is He most likely conveying?
a. He kept the medicine in the bathroom cabinet.
b. The cake was tastier than expected.
c. The medicine tasted surprisingly pleasant.
d. The medicine tasted absolutely awful.
Answer:
","
a. He kept the medicine in the bathroom cabinet.

b. The cake was tastier than expected.

c. The medicine tasted surprisingly pleasant.

d. The medicine tasted absolutely awful.

Context: He was walking down the street and saw a man in a wheelchair.

Target utterance: He said: ""I'm sorry, I can't help you.""

What meaning is He most likely conveying?

a. He was walking down the street and saw a man in a wheelchair.

b. He was walking down the street and saw a man in a wheelchair.

c. He was walking down the street and saw a man in a wheelchair.

d","['d', 'c', 'a', 'b']",3,UA_NI,"{'a': 8.6875, 'b': 8.0625, 'c': 9.125, 'd': 8.875}","{'a': 0.23308274149894714, 'b': 0.124760203063488, 'c': 0.36100560426712036, 'd': 0.2811514437198639}",0.36100560426712036,a,,d
C1_07_A_I,C1_07,253,1,ambiguous,ironic,c,The smoothie was thoroughly nasty.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I took a sip of my smoothie and found it palatable.
Target utterance: I said: """"What a treat.""""
What meaning is I most likely conveying?
a. She gave the dog a treat.
b. She was looking for a new smoothie recipe.
c. The smoothie was thoroughly nasty.
d. The smoothie was thoroughly enjoyable.
Answer:
","
a. b. c. d.

Context: I was walking down the street and saw a man in a suit.

Target utterance: I said: ""I'm going to the store.""

What meaning is I most likely conveying?

a. He was wearing a suit.

b. He was wearing a suit.

c. He was wearing a suit.

d. He was wearing a suit.

Answer:

a. b. c. d.

Context: I was walking down the street and saw a man in a suit.

Target utterance: I said: ""I'm going to the store.""

What meaning is I","['c', 'd', 'b', 'a']",3,A_I,"{'a': 8.5625, 'b': 7.90625, 'c': 8.6875, 'd': 8.5}","{'a': 0.2784464657306671, 'b': 0.14445611834526062, 'c': 0.3155211806297302, 'd': 0.26157623529434204}",0.3155211806297302,a,,c
C1_08_A_NI,C1_08,112,1,ambiguous,non-ironic,c,They liked every single bite of the burger.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They ate a palatable burger.
Target utterance: They said: """"This burger tasted like heaven.""""
What meaning is They most likely conveying?
a. They liked the burger more than the pizza.
b. They could barely force themselves to swallow the burger.
c. They liked every single bite of the burger.
d. The burger was the most expensive item on the menu.
Answer:
","
a. They liked the burger more than the pizza.

b. They could barely force themselves to swallow the burger.

c. They liked every single bite of the burger.

d. The burger was the most expensive item on the menu.

Context: They were in a car accident.

Target utterance: They said: ""I'm so sorry.""

What meaning is They most likely conveying?

a. They were sorry for the accident.

b. They were sorry for the accident.

c. They were sorry for the accident.

d. They were sorry for the accident.

Answer:

a. They were sorry for the accident.","['d', 'b', 'a', 'c']",3,A_NI,"{'a': 8.875, 'b': 8.9375, 'c': 8.0625, 'd': 8.5}","{'a': 0.31293705105781555, 'b': 0.3331197500228882, 'c': 0.13886496424674988, 'd': 0.21507827937602997}",0.3331197500228882,a,,d
C1_09_UA_I,C1_09,71,1,unambiguous,ironic,c,The babysitter was not taking good care of the kids.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They hired a brave babysitter.
Target utterance: They said: """"The kids are not safe at all.""""
What meaning is They most likely conveying?
a. The babysitter was taking good care of the kids.
b. The kids had very clean hands.
c. The babysitter was not taking good care of the kids.
d. The babysitter parked her car outside.
Answer:
","
The babysitter was taking good care of the kids.

The babysitter parked her car outside.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

","['a', 'c', 'b', 'd']",3,UA_I,"{'a': 7.65625, 'b': 8.125, 'c': 8.3125, 'd': 9.0}","{'a': 0.11963243037462234, 'b': 0.1911720633506775, 'c': 0.23059754073619843, 'd': 0.45859795808792114}",0.45859795808792114,,"The babysitter was taking good care of the kids.

The babysitter parked her car outside.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.

The babysitter was not taking good care of the kids.",
C1_10_UA_NI,C1_10,64,1,unambiguous,non-ironic,a,The police officer made them feel very safe.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They met a brave police officer.
Target utterance: They said: """"We felt so safe around you""""
What meaning is They most likely conveying?
a. The police officer made them feel very safe.
b. The police officer did not make them feel safe at all.
c. They were sitting in a very safe seat.
d. The police officer drank a cup of coffee.
Answer:
","
a. They said: ""We felt so safe around you.""

b. They said: ""We did not feel safe at all.""

c. They said: ""We were sitting in a very safe seat.""

d. They said: ""The police officer drank a cup of coffee.""

Context: They met a brave police officer.

Target utterance: They said: ""We felt so safe around you.""

What meaning is They most likely conveying?

a. The police officer made them feel very safe.

b. The police officer did not make them feel safe at all.

c. They were sitting in a very safe seat.

d. The","['a', 'b', 'c', 'd']",3,UA_NI,"{'a': 7.84375, 'b': 7.5625, 'c': 7.15625, 'd': 7.875}","{'a': 0.3040054440498352, 'b': 0.22947536408901215, 'c': 0.1528635323047638, 'd': 0.3136556148529053}",0.3136556148529053,a,,a
