Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,chosen_option,reasoning
C1_20_UA_I,C1_20,1,1,unambiguous,ironic,4,"As far as they were concerned, it was a poor suggestion they were stuck with.",Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: His colleague's suggestion was brilliant.
Target utterance: They say: """"We really lucked out with that one.""""
What meaning is They most likely conveying?
1. They discussed the project proposal all morning.
2. They were genuinely fortunate to have such a strong suggestion.
3. He got lucky at the casino and it was his favourite pastime.
4. As far as they were concerned, it was a poor suggestion they were stuck with.
Answer:
","2
",2,
C1_09_A_NI,C1_09,2,1,ambiguous,non-ironic,3,Seeing the pilot put her completely at ease.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: She noticed the fearless pilot before boarding.
Target utterance: She says: """"That really settled my nerves.""""
What meaning is She most likely conveying?
1. She always arrived early to avoid rushing at the gate.
2. She noticed that the pilot made her feel even more anxious.
3. Seeing the pilot put her completely at ease.
4. She settled into her seat and fastened the belt.
Answer:
","3
",3,
C1_09_UA_I,C1_09,3,1,unambiguous,ironic,3,She noticed that the pilot made her feel even more anxious.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: She noticed the petrified pilot before boarding.
Target utterance: She says: """"That really settled my nerves.""""
What meaning is She most likely conveying?
1. Seeing the pilot put her completely at ease.
2. She settled into her seat and fastened the belt.
3. She noticed that the pilot made her feel even more anxious.
4. She always arrived early to avoid rushing at the gate.
Answer:
","1
",1,
C1_16_UA_I,C1_16,4,1,unambiguous,ironic,4,The meal was a real disappointment.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: After the restaurant visit he was full.
Target utterance: He says: """"Best dinner ever.""""
What meaning is He most likely conveying?
1. It was the best-reviewed dinner spot in the whole city.
2. He looked forward to this restaurant for weeks.
3. The dinner was genuinely outstanding.
4. The meal was a real disappointment.
Answer:
","3
",3,
C1_25_A_NI,C1_25,5,1,ambiguous,non-ironic,4,His debating skills were genuinely impressive to watch.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: His argument in the debate was stupid.
Target utterance: She says: """"What a master of rhetoric.""""
What meaning is She most likely conveying?
1. She judged the competition that night.
2. The debate club met every Thursday evening after class.
3. His argument was weak and poorly constructed throughout.
4. His debating skills were genuinely impressive to watch.
Answer:
","3
",3,
C1_24_UA_NI,C1_24,6,1,unambiguous,non-ironic,4,The farewell ceremony was deeply touching for everyone present.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They left the funeral feeling miserable .
Target utterance: They say: """"A truly moving farewell.""""
What meaning is They most likely conveying?
1. They travelled a long way to attend the service.
2. They felt it had been a cold, hollow, and unmemorable goodbye.
3. The removal van was moved to the front of the house.
4. The farewell ceremony was deeply touching for everyone present.
Answer:
","2
",2,
C1_30_UA_I,C1_30,7,1,unambiguous,ironic,1,"There was nothing amusing about it, it was far too heavy.",Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They watched a grim movie, and everyone enjoyed it.
Target utterance: They say.: """"That was the perfect movie for a laugh.""""
What meaning is They most likely conveying?
1. There was nothing amusing about it, it was far too heavy.
2. The film was genuinely funny and great for a lighthearted evening.
3. They saw three documentaries that week.
4. Laughing too loud in the movie theater always embarrassed her.
Answer:
","2
",2,
C1_49_A_NI,C1_49,8,1,ambiguous,non-ironic,4,They thought the bird was beautiful.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They saw a pretty bird.
Target utterance: They say: """"A real looker.""""
What meaning is They most likely conveying?
1. The bird looked at them really closely.
2. They had a great time on a trip.
3. They thought the bird was not beautiful.
4. They thought the bird was beautiful.
Answer:
","1
",1,
C1_22_A_I,C1_22,9,1,ambiguous,ironic,1,The lecture was dull and hard to sit through.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: She sat through the entire lecture and found it loud.
Target utterance: She says: """"Could barely stay awake.""""
What meaning is She most likely conveying?
1. The lecture was dull and hard to sit through.
2. She forgot to set her alarm.
3. She was looking for a new course to take.
4. The lecture was engaging and easy to follow.
Answer:
","1
",1,
C1_02_A_I,C1_02,10,1,ambiguous,ironic,1,The dog was very light to pick up.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: She picked up her overweigth dog.
Target utterance: She says: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
1. The dog was very light to pick up.
2. The dog was really heavy to pick up.
3. It was the heaviest package she ever carried.
4. She just adopted a new puppy.
Answer:
","2
",2,
C1_15_UA_I,C1_15,11,1,unambiguous,ironic,1,Her exam answers were embarrassingly poor.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: Her answers in the exam were brilliant.
Target utterance: She says: """"What a genius.""""
What meaning is She most likely conveying?
1. Her exam answers were embarrassingly poor.
2. Her exam answers were impressively smart.
3. She had a high IQ.
4. She studied for her next exam.
Answer:
","2
",2,
C1_46_UA_I,C1_46,12,1,unambiguous,ironic,4,I thought the outfit is ugly.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: I wore a hideous outfit to attend the award ceremony.
Target utterance: I say: """"I look amazing today.""""
What meaning is I most likely conveying?
1. I admired the outfit.
2. I received an amazing award.
3. The comedians on the stage enjoyed themselves.
4. I thought the outfit is ugly.
Answer:
","4
",4,
