Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,option_logits_raw,confidence_dist,confidence_top_prob,chosen_option,reasoning,chosen_original_option
C1_01_UA_NI,C1_01,255,1,unambiguous,non-ironic,a,The cat was easy to lift up.,Llama-3-8B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He lifted the skinny cat from the table.
Target utterance: He said:  """"That was easy!""""
What meaning is He most likely conveying?
a. The cat was easy to lift up.
b. He just got a great deal on a cat bed.
c. The exam was really easy.
d. The cat was really hard to lift up.
Answer:
",a,"['a', 'd', 'c', 'b']",4,UA_NI,"{'a': 22.25, 'b': 9.875, 'c': 6.84375, 'd': 5.21875}","{'a': 0.9999955892562866, 'b': 4.222832558298251e-06, 'c': 2.0377397902393568e-07, 'd': 4.012547449860904e-08}",0.9999955892562866,a,,a
C1_02_A_I,C1_02,51,1,ambiguous,ironic,c,The dog was very light to lift.,Llama-3-8B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She picked up her thin dog.
Target utterance: She said: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
a. She just adopted a new dog.
b. The dog was really heavy to lift
c. The dog was very light to lift.
d. It was the heaviest package she ever carried.
Answer:
",b. The dog was really heavy to lift.,"['d', 'a', 'b', 'c']",4,A_I,"{'a': 16.0, 'b': 23.5, 'c': 10.0625, 'd': 8.625}","{'a': 0.0005527776083908975, 'b': 0.999445378780365, 'c': 1.458568931411719e-06, 'd': 3.464405153863481e-07}",0.999445378780365,b,,a
C1_03_A_NI,C1_03,230,1,ambiguous,non-ironic,c,Their friend was very easy to lift.,Llama-3-8B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They lift their thin friend.
Target utterance: They said: """"Light as a feather.""""
What meaning is They most likely conveying?
a. Getting their friend off the ground took a lot of effort.
b. The feather fell gently to the ground.
c. Their friend was very easy to lift.
d. They decided to go out for dinner with their friend.
Answer:
",c. Their friend was very easy to lift.,"['b', 'c', 'a', 'd']",4,A_NI,"{'a': 14.75, 'b': 12.5, 'c': 23.875, 'd': 7.46875}","{'a': 0.00010889564146054909, 'b': 1.1477516636659857e-05, 'c': 0.9998794794082642, 'd': 7.4955551099265e-08}",0.9998794794082642,c,,a
C1_04_UA_I,C1_04,78,1,unambiguous,ironic,a,Holding my nephew took nothing of my strength.,Llama-3-8B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I held my skinny nephew in my arms.
Target utterance: I said: """"Heavier than an elephant.""""
What meaning is I most likely conveying?
a. Holding my nephew took nothing of my strength.
b. Holding my nephew took all my strength.
c. The elephant lumbered slowly across the plain.
d. My nephew ate a burger that day.
Answer:
",b.,"['b', 'a', 'c', 'd']",4,UA_I,"{'a': 12.4375, 'b': 20.375, 'c': 9.0, 'd': 6.75}","{'a': 0.00035696610575541854, 'b': 0.999630331993103, 'c': 1.1474656275822781e-05, 'd': 1.209419906444964e-06}",0.999630331993103,b,,a
C1_05_UA_NI,C1_05,77,1,unambiguous,non-ironic,a,The cake tasted really good.,Llama-3-8B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She ate a disgusting cake.
Target utterance: She said: """"What an amazing flavour.""""
What meaning is She most likely conveying?
a. The cake tasted really good.
b. The cake tasted really bad.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.
Answer:
",b. The cake tasted really bad.,"['a', 'b', 'c', 'd']",4,UA_NI,"{'a': 15.0, 'b': 21.75, 'c': 8.75, 'd': 7.78125}","{'a': 0.0011695065768435597, 'b': 0.9988273978233337, 'c': 2.2576789433514932e-06, 'd': 8.569182909923256e-07}",0.9988273978233337,b,,b
C1_06_A_I,C1_06,188,1,ambiguous,ironic,a,The medicine tasted absolutely awful.,Llama-3-8B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He swallowed the medicine and found it unpleasant.
Target utterance: He said: """"Tastier than expected.""""
What meaning is He most likely conveying?
a. The medicine tasted absolutely awful.
b. The medicine tasted surprisingly pleasant.
c. He kept the medicine in the bathroom cabinet.
d. The cake was tastier than expected.
Answer:
",b. The medicine tasted surprisingly pleasant.,"['b', 'a', 'd', 'c']",4,A_I,"{'a': 14.375, 'b': 22.625, 'c': 9.125, 'd': 7.78125}","{'a': 0.0002611898526083678, 'b': 0.9997369647026062, 'c': 1.3705985111300834e-06, 'd': 3.5754197824644507e-07}",0.9997369647026062,b,,a
C1_07_A_NI,C1_07,239,1,ambiguous,non-ironic,a,The smoothie was thoroughly enjoyable.,Llama-3-8B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I took a sip of my smoothie and found it unpleasant.
Target utterance: I said: """"What a treat.""""
What meaning is I most likely conveying?
a. The smoothie was thoroughly enjoyable.
b. She gave the dog a treat.
c. She was looking for a new smoothie recipe.
d. The smoothie was thoroughly nasty.
Answer:
",d. The smoothie was thoroughly nasty.,"['a', 'c', 'd', 'b']",4,A_NI,"{'a': 13.25, 'b': 11.8125, 'c': 9.4375, 'd': 23.625}","{'a': 3.120166002190672e-05, 'b': 7.411043497995706e-06, 'c': 6.893343993397139e-07, 'd': 0.9999606609344482}",0.9999606609344482,d,,b
C1_08_UA_I,C1_08,259,1,unambiguous,ironic,d,They could barely force themselves to swallow the burger.,Llama-3-8B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They ate a disgusting burger.
Target utterance: They said: """"This burger tasted like heaven.""""
What meaning is They most likely conveying?
a. They liked the burger more than the pizza.
b. The burger was the most expensive item on the menu.
c. They liked every single bite of the burger.
d. They could barely force themselves to swallow the burger.
Answer:
",c. They liked every single bite of the burger.,"['d', 'c', 'a', 'b']",4,UA_I,"{'a': 13.1875, 'b': 11.75, 'c': 22.5, 'd': 8.375}","{'a': 9.027838677866384e-05, 'b': 2.144299833162222e-05, 'c': 0.9998875856399536, 'd': 7.337390570683056e-07}",0.9998875856399536,c,,a
C1_09_UA_NI,C1_09,109,1,unambiguous,non-ironic,a,The babysitter was taking good care of the kids.,Llama-3-8B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They hired a petrified babysitter.
Target utterance: They said: """"The kids are not safe at all.""""
What meaning is They most likely conveying?
a. The babysitter was taking good care of the kids.
b. The babysitter was not taking good care of the kids.
c. The kids had very clean hands.
d. The babysitter parked her car outside.
Answer:
",b.,"['a', 'b', 'c', 'd']",4,UA_NI,"{'a': 10.3125, 'b': 20.0, 'c': 8.25, 'd': 6.1875}","{'a': 6.204994133440778e-05, 'b': 0.9999290704727173, 'c': 7.888765139796305e-06, 'd': 1.002943918138044e-06}",0.9999290704727173,b,,b
C1_10_A_I,C1_10,186,1,ambiguous,ironic,b,The police officer did not make them feel safe at all.,Llama-3-8B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They met a scared police officer.
Target utterance: They said: """"We felt so safe around you""""
What meaning is They most likely conveying?
a. The police officer drank a cup of coffee.
b. The police officer did not make them feel safe at all.
c. They were sitting in a very safe seat.
d. The police officer made them feel very safe.
Answer:
",d. The police officer made them feel very safe.,"['d', 'b', 'c', 'a']",4,A_I,"{'a': 10.875, 'b': 10.5, 'c': 9.0, 'd': 21.875}","{'a': 1.6701187632861547e-05, 'b': 1.1478547094156966e-05, 'c': 2.561210067142383e-06, 'd': 0.9999692440032959}",0.9999692440032959,d,,a
