Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,option_logits_raw,confidence_dist,confidence_top_prob,rsa_l0,rsa_s1,rsa_l1,rsa_final,rsa_raw_text,chosen_option,chosen_original_option
C1_01_UA_NI,C1_01,255,1,unambiguous,non-ironic,a,The cat was easy to lift up.,Llama-3-8B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: He lifted the skinny cat from the table.

Target utterance:
He said:  """"That was easy!""""

a. The cat was easy to lift up.
b. He just got a great deal on a cat bed.
c. The exam was really easy.
d. The cat was really hard to lift up.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. L0: a

2. S1: a

3. L1: a

Final Answer: a","['a', 'd', 'c', 'b']",4,UA_NI,"{'a': 19.875, 'b': 11.125, 'c': 10.125, 'd': 10.0625}","{'a': 0.9997286200523376, 'b': 0.00015841831918805838, 'c': 5.8278841606806964e-05, 'd': 5.474790668813512e-05}",0.9997286200523376,a,a,a,a,"1. L0: a

2. S1: a

3. L1: a

Final Answer: a",a,a
C1_02_A_I,C1_02,51,1,ambiguous,ironic,c,The dog was very light to lift.,Llama-3-8B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: She picked up her thin dog.

Target utterance:
She said: """"Heaviest dog ever.""""

a. She just adopted a new dog.
b. The dog was really heavy to lift
c. The dog was very light to lift.
d. It was the heaviest package she ever carried.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. L0: b

2. S1: b

3. L1: b

Final Answer: b","['d', 'a', 'b', 'c']",4,A_I,"{'a': 11.6875, 'b': 20.25, 'c': 11.6875, 'd': 10.6875}","{'a': 0.00019105437968391925, 'b': 0.9995476603507996, 'c': 0.00019105437968391925, 'd': 7.028497930150479e-05}",0.9995476603507996,b,b,b,b,"1. L0: b

2. S1: b

3. L1: b

Final Answer: b",b,a
C1_03_A_NI,C1_03,230,1,ambiguous,non-ironic,c,Their friend was very easy to lift.,Llama-3-8B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They lift their thin friend.

Target utterance:
They said: """"Light as a feather.""""

a. Getting their friend off the ground took a lot of effort.
b. The feather fell gently to the ground.
c. Their friend was very easy to lift.
d. They decided to go out for dinner with their friend.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. L0: c

2. S1: c

3. L1: c

Final Answer: c","['b', 'c', 'a', 'd']",4,A_NI,"{'a': 10.6875, 'b': 11.3125, 'c': 20.25, 'd': 10.625}","{'a': 7.029796688584611e-05, 'b': 0.0001313338871113956, 'c': 0.9997323155403137, 'd': 6.603882502531633e-05}",0.9997323155403137,c,c,c,c,"1. L0: c

2. S1: c

3. L1: c

Final Answer: c",c,a
C1_04_UA_I,C1_04,78,1,unambiguous,ironic,a,Holding my nephew took nothing of my strength.,Llama-3-8B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: I held my skinny nephew in my arms.

Target utterance:
I said: """"Heavier than an elephant.""""

a. Holding my nephew took nothing of my strength.
b. Holding my nephew took all my strength.
c. The elephant lumbered slowly across the plain.
d. My nephew ate a burger that day.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. L0: c

2. S1: c

3. L1: c

Final Answer: c","['b', 'a', 'c', 'd']",4,UA_I,"{'a': 11.8125, 'b': 12.75, 'c': 19.5, 'd': 11.625}","{'a': 0.0004576035134959966, 'b': 0.0011685314821079373, 'c': 0.9979945421218872, 'd': 0.0003793666255660355}",0.9979945421218872,c,c,c,c,"1. L0: c

2. S1: c

3. L1: c

Final Answer: c",c,c
C1_05_UA_NI,C1_05,77,1,unambiguous,non-ironic,a,The cake tasted really good.,Llama-3-8B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: She ate a disgusting cake.

Target utterance:
She said: """"What an amazing flavour.""""

a. The cake tasted really good.
b. The cake tasted really bad.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. L0: b

2. S1: b

3. L1: b

Final Answer: b","['a', 'b', 'c', 'd']",4,UA_NI,"{'a': 11.625, 'b': 19.5, 'c': 10.4375, 'd': 11.0}","{'a': 0.0003798631951212883, 'b': 0.9993008375167847, 'c': 0.00011585172615014017, 'd': 0.00020332611165940762}",0.9993008375167847,b,b,b,b,"1. L0: b

2. S1: b

3. L1: b

Final Answer: b",b,b
C1_06_A_I,C1_06,188,1,ambiguous,ironic,a,The medicine tasted absolutely awful.,Llama-3-8B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: He swallowed the medicine and found it unpleasant.

Target utterance:
He said: """"Tastier than expected.""""

a. The medicine tasted absolutely awful.
b. The medicine tasted surprisingly pleasant.
c. He kept the medicine in the bathroom cabinet.
d. The cake was tastier than expected.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. L0: b

2. S1: b

3. L1: b

Final Answer: b","['b', 'a', 'd', 'c']",4,A_I,"{'a': 12.125, 'b': 20.0, 'c': 11.25, 'd': 10.3125}","{'a': 0.00037990076816640794, 'b': 0.9993996620178223, 'c': 0.00015836619422771037, 'd': 6.201709038577974e-05}",0.9993996620178223,b,b,b,b,"1. L0: b

2. S1: b

3. L1: b

Final Answer: b",b,a
C1_07_A_NI,C1_07,239,1,ambiguous,non-ironic,a,The smoothie was thoroughly enjoyable.,Llama-3-8B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: I took a sip of my smoothie and found it unpleasant.

Target utterance:
I said: """"What a treat.""""

a. The smoothie was thoroughly enjoyable.
b. She gave the dog a treat.
c. She was looking for a new smoothie recipe.
d. The smoothie was thoroughly nasty.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. L0: d

2. S1: d

3. L1: d

Final Answer: d","['a', 'c', 'd', 'b']",4,A_NI,"{'a': 10.375, 'b': 10.0, 'c': 9.5, 'd': 20.25}","{'a': 5.143929229234345e-05, 'b': 3.535367432050407e-05, 'c': 2.1443087462102994e-05, 'd': 0.9998917579650879}",0.9998917579650879,d,d,d,d,"1. L0: d

2. S1: d

3. L1: d

Final Answer: d",d,b
C1_08_UA_I,C1_08,259,1,unambiguous,ironic,d,They could barely force themselves to swallow the burger.,Llama-3-8B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They ate a disgusting burger.

Target utterance:
They said: """"This burger tasted like heaven.""""

a. They liked the burger more than the pizza.
b. The burger was the most expensive item on the menu.
c. They liked every single bite of the burger.
d. They could barely force themselves to swallow the burger.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. L0: d

2. S1: d

3. L1: d

Final Answer: d","['d', 'c', 'a', 'b']",4,UA_I,"{'a': 10.625, 'b': 11.25, 'c': 10.75, 'd': 19.375}","{'a': 0.00015836091188248247, 'b': 0.0002958571130875498, 'c': 0.00017944643332157284, 'd': 0.9993663430213928}",0.9993663430213928,d,d,d,d,"1. L0: d

2. S1: d

3. L1: d

Final Answer: d",d,b
C1_09_UA_NI,C1_09,109,1,unambiguous,non-ironic,a,The babysitter was taking good care of the kids.,Llama-3-8B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They hired a petrified babysitter.

Target utterance:
They said: """"The kids are not safe at all.""""

a. The babysitter was taking good care of the kids.
b. The babysitter was not taking good care of the kids.
c. The kids had very clean hands.
d. The babysitter parked her car outside.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. L0: b

2. S1: b

3. L1: b

Final Answer: b","['a', 'b', 'c', 'd']",4,UA_NI,"{'a': 9.9375, 'b': 19.875, 'c': 10.1875, 'd': 10.5625}","{'a': 4.831828118767589e-05, 'b': 0.9997994303703308, 'c': 6.204189412528649e-05, 'd': 9.027042688103393e-05}",0.9997994303703308,b,b,b,b,"1. L0: b

2. S1: b

3. L1: b

Final Answer: b",b,b
C1_10_A_I,C1_10,186,1,ambiguous,ironic,b,The police officer did not make them feel safe at all.,Llama-3-8B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (a,b,c,d).

Context: They met a scared police officer.

Target utterance:
They said: """"We felt so safe around you""""

a. The police officer drank a cup of coffee.
b. The police officer did not make them feel safe at all.
c. They were sitting in a very safe seat.
d. The police officer made them feel very safe.

Answer the following questions in order:

1. Literal Listener (L0):
   How would a listener interpret the utterance literally?
   Answer with a letter from a–d.

2. Informative Speaker (S1):
   Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
   Answer with a letter from a–d.

3. Pragmatic Listener (L1):
   How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
   Answer with a letter from a–d.

Final Answer:
  Answer with a letter from a–d.","1. L0: d

2. S1: d

3. L1: d

Final Answer: d","['d', 'b', 'c', 'a']",4,A_I,"{'a': 10.6875, 'b': 10.1875, 'c': 9.8125, 'd': 20.25}","{'a': 7.030677807051688e-05, 'b': 4.2643216147553176e-05, 'c': 2.930822483904194e-05, 'd': 0.9998576641082764}",0.9998576641082764,d,d,d,d,"1. L0: d

2. S1: d

3. L1: d

Final Answer: d",d,a
