Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,chosen_option,reasoning,chosen_original_option
C1_01_UA_NI,C1_01,255,1,unambiguous,non-ironic,a,The cat was easy to lift up.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He lifted the skinny cat from the table.
Target utterance: He said:  """"That was easy!""""
What meaning is He most likely conveying?
a. The cat was easy to lift up.
b. He just got a great deal on a cat bed.
c. The exam was really easy.
d. The cat was really hard to lift up.
Answer:
","a
","['a', 'd', 'c', 'b']",4,UA_NI,a,,a
C1_02_A_I,C1_02,51,1,ambiguous,ironic,c,The dog was very light to lift.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She picked up her thin dog.
Target utterance: She said: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
a. She just adopted a new dog.
b. The dog was really heavy to lift
c. The dog was very light to lift.
d. It was the heaviest package she ever carried.
Answer:
","a
","['d', 'a', 'b', 'c']",4,A_I,a,,d
C1_03_A_NI,C1_03,230,1,ambiguous,non-ironic,c,Their friend was very easy to lift.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They lift their thin friend.
Target utterance: They said: """"Light as a feather.""""
What meaning is They most likely conveying?
a. Getting their friend off the ground took a lot of effort.
b. The feather fell gently to the ground.
c. Their friend was very easy to lift.
d. They decided to go out for dinner with their friend.
Answer:
","a
","['b', 'c', 'a', 'd']",4,A_NI,a,,b
C1_04_UA_I,C1_04,78,1,unambiguous,ironic,a,Holding my nephew took nothing of my strength.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I held my skinny nephew in my arms.
Target utterance: I said: """"Heavier than an elephant.""""
What meaning is I most likely conveying?
a. Holding my nephew took nothing of my strength.
b. Holding my nephew took all my strength.
c. The elephant lumbered slowly across the plain.
d. My nephew ate a burger that day.
Answer:
","b
","['b', 'a', 'c', 'd']",4,UA_I,b,,a
C1_05_UA_NI,C1_05,77,1,unambiguous,non-ironic,a,The cake tasted really good.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She ate a disgusting cake.
Target utterance: She said: """"What an amazing flavour.""""
What meaning is She most likely conveying?
a. The cake tasted really good.
b. The cake tasted really bad.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.
Answer:
","a
","['a', 'b', 'c', 'd']",4,UA_NI,a,,a
C1_06_A_I,C1_06,188,1,ambiguous,ironic,a,The medicine tasted absolutely awful.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He swallowed the medicine and found it unpleasant.
Target utterance: He said: """"Tastier than expected.""""
What meaning is He most likely conveying?
a. The medicine tasted absolutely awful.
b. The medicine tasted surprisingly pleasant.
c. He kept the medicine in the bathroom cabinet.
d. The cake was tastier than expected.
Answer:
","b
","['b', 'a', 'd', 'c']",4,A_I,b,,a
C1_07_A_NI,C1_07,239,1,ambiguous,non-ironic,a,The smoothie was thoroughly enjoyable.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I took a sip of my smoothie and found it unpleasant.
Target utterance: I said: """"What a treat.""""
What meaning is I most likely conveying?
a. The smoothie was thoroughly enjoyable.
b. She gave the dog a treat.
c. She was looking for a new smoothie recipe.
d. The smoothie was thoroughly nasty.
Answer:
","d
","['a', 'c', 'd', 'b']",4,A_NI,d,,b
C1_08_UA_I,C1_08,259,1,unambiguous,ironic,d,They could barely force themselves to swallow the burger.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They ate a disgusting burger.
Target utterance: They said: """"This burger tasted like heaven.""""
What meaning is They most likely conveying?
a. They liked the burger more than the pizza.
b. The burger was the most expensive item on the menu.
c. They liked every single bite of the burger.
d. They could barely force themselves to swallow the burger.
Answer:
","c
","['d', 'c', 'a', 'b']",4,UA_I,c,,a
C1_09_UA_NI,C1_09,109,1,unambiguous,non-ironic,a,The babysitter was taking good care of the kids.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They hired a petrified babysitter.
Target utterance: They said: """"The kids are not safe at all.""""
What meaning is They most likely conveying?
a. The babysitter was taking good care of the kids.
b. The babysitter was not taking good care of the kids.
c. The kids had very clean hands.
d. The babysitter parked her car outside.
Answer:
","b
","['a', 'b', 'c', 'd']",4,UA_NI,b,,b
C1_10_A_I,C1_10,186,1,ambiguous,ironic,b,The police officer did not make them feel safe at all.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They met a scared police officer.
Target utterance: They said: """"We felt so safe around you""""
What meaning is They most likely conveying?
a. The police officer drank a cup of coffee.
b. The police officer did not make them feel safe at all.
c. They were sitting in a very safe seat.
d. The police officer made them feel very safe.
Answer:
","b
","['d', 'b', 'c', 'a']",4,A_I,b,,b
C1_11_A_NI,C1_11,244,1,ambiguous,non-ironic,a,Seeing the pilot put her completely at ease.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She noticed the scared pilot before boarding.
Target utterance: She said: """"That really shook me up.""""
What meaning is She most likely conveying?
a. Seeing the pilot put her completely at ease.
b. She settled into her seat and fastened the belt.
c. Seeing the pilot made her feel even more anxious.
d. She dated a pilot for several months.
Answer:
","c
","['a', 'c', 'b', 'd']",4,A_NI,c,,b
C1_12_UA_I,C1_12,207,1,unambiguous,ironic,a,His father's face was full of fear.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He saw his petrified father.
Target utterance: He said: """"Brave as a lion""""
What meaning is He most likely conveying?
a. His father's face was full of fear.
b. The lion prowled across the savannah.
c. His father wore a blue jacket.
d. His father showed no fear at all.
Answer:
","a
","['b', 'c', 'd', 'a']",4,UA_I,a,,b
C1_13_UA_NI,C1_13,48,1,unambiguous,non-ironic,a,"To him, his girlfriend looked well-rested and full of energy.",Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He saw his exhausted girlfriend.
Target utterance: He said: """"You look like you've been awake since birth.""""
What meaning is He most likely conveying?
a. To him, his girlfriend looked well-rested and full of energy.
b. He was planning to surprise his girlfriend with a home-cooked meal.
c. His girlfriend clearly looked worn out, not refreshed at all.
d. He had just bought her a refreshing cold drink.
Answer:
","c
","['a', 'd', 'b', 'c']",4,UA_NI,c,,b
C1_14_A_I,C1_14,248,1,ambiguous,ironic,d,Her colleague seemed very tired today.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She saw her tired colleague.
Target utterance: She said: """"You seem so full of energy today.""""
What meaning is She most likely conveying?
a. She was redecorating the office of her colleague.
b. Her colleague seemed very energetic today.
c. She filled up the car with energy.
d. Her colleague seemed very tired today.
Answer:
","b
","['d', 'a', 'c', 'b']",4,A_I,b,,a
