Item_ID,context_level,irony_label,irony_type,context_type,pronoun,tense,context,speaker,target_utterance,answering_options,notes,tok_Gemma-3-4B,tok_Mistral-7B-Instruct,tok_OLMo-2-7B,tok_Qwen3-8B,tok_ModernBERT-8B,tok_Llama-3-8B,item_id,cg_level,topic,cg_framing,Speaker,Word Tokens,Syllable Tokens,Notes
C1B_01_L_I,ambiguous,ironic,PC,situational,she,past perfect,She had been preparing for the presentation and had been due to meet with a new client.,She says:,"""That had gone really smoothly.""","1. Her presentation had gone well.
2. Her presentation had gone badly.
3. The surface of the table had been smooth.
4. She had wanted to redecorate her office.",,179,186,172,172,175,173,,,,,,,,
C1B_01_L_N,ambiguous,non-ironic,PC,situational,she,past perfect,She had been working on the presentation and had had a meeting with the client scheduled.,She says:,"""That had gone really smoothly.""","1. Her presentation had gone well.
2. Her presentation had gone badly.
3. The surface of the table had been smooth.
4. She had wanted to redecorate her office.",,178,185,171,171,174,172,,,,,,,,
C1B_01_H_I,unambiguous,ironic,PC,situational,she,past perfect,Her slides had crashed halfway through and the client had walked out early.,She says:,"""That had gone really smoothly.""","1. Her presentation had gone well.
2. Her presentation had gone badly.
3. The surface of the table had been smooth.
4. She had wanted to redecorate her office.",,175,182,168,168,171,169,,,,,,,,
C1B_01_H_N,unambiguous,non-ironic,PC,situational,she,past perfect,Her manager had liked every slide and the client had signed the contract immediately.,She says:,"""That had gone really smoothly.""","1. Her presentation had gone well.
2. Her presentation had gone badly.
3. The surface of the table had been smooth.
4. She had wanted to redecorate her office.",,176,183,169,169,172,170,,,,,,,,
C1B_02_L_I,ambiguous,ironic,US,situational,he,past perfect,He had taken a full morning off work to attend an interview across the city.,He says:,"""That had certainly been a morning well spent.""","1. The morning had turned out to be productive.
2. The morning had been entirely wasted.
3. He had spent a lot of money on clothes.
4. He had made himself coffee right after waking up.",,186,193,178,178,181,179,,,,,,,,
C1B_02_L_N,ambiguous,non-ironic,US,situational,he,past perfect,He had been invited for a second-round interview and had taken the morning off to attend.,He says:,"""That had certainly been a morning well spent.""","1. The morning had turned out to be productive.
2. The morning had been entirely wasted.
3. He had spent a lot of money on clothes.
4. He had made himself coffee right after waking up.",,189,196,180,180,184,181,,,,,,,,
C1B_02_H_I,unambiguous,ironic,US,situational,he,past perfect,He had waited two hours and then been told the role had already been filled.,He says:,"""That had certainly been a morning well spent.""","1. The morning had turned out to be productive.
2. The morning had been entirely wasted.
3. He had spent a lot of money on clothes.
4. He had made himself coffee right after waking up.",,186,193,178,178,181,179,,,,,,,,
C1B_02_H_N,unambiguous,non-ironic,US,situational,he,past perfect,The interviewer had offered him the position on the spot and shaken his hand warmly.,He says:,"""That had certainly been a morning well spent.""","1. The morning had turned out to be productive.
2. The morning had been entirely wasted.
3. He had spent a lot of money on clothes.
4. He had made himself coffee right after waking up.",,186,196,178,178,183,179,,,,,,,,
C1B_03_L_I,ambiguous,ironic,EV,situational,they,past simple,They ordered several courses and waited for the food to arrive.,They say:,"""That was a great restaurant visit.""","1. The restaurant visit was a good experience.
2. The restaurant visit was a bad experience.
3. They liked to visit restaurants together.
4. Some of them were vegetarians or vegans.",,175,184,169,169,173,170,,,,,,,,
C1B_03_L_N,ambiguous,non-ironic,EV,situational,they,past simple,They ordered several dishes and stayed for the full three courses.,They say:,"""That was a great restaurant visit.""","1. The restaurant visit was a good experience.
2. The restaurant visit was a bad experience.
3. They liked to visit restaurants together.
4. Some of them were vegetarians or vegans.",,175,184,169,169,173,170,,,,,,,,
