id,model,dataset,prompt_type,prompt,label,output
1,Gemma-3-1B,Condition2_common_ground_stimuli,general,"You will read short stories that describe everyday situations and which finish with a character saying something. Your task is to decide, given the situation, what meaning the character is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: The final piece looked even better than the mock-up and the client approved it at once. They described the outcome to a friend outside the industry who had no idea what the project involved.
Target utterance: nan ""That turned out exactly as planned.""
What meaning is they most likely conveying?

Answer:
",,"1
"
2,Gemma-3-1B,Condition2_common_ground_stimuli,general,"You will read short stories that describe everyday situations and which finish with a character saying something. Your task is to decide, given the situation, what meaning the character is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They boarded on time and she collected her bags within minutes of landing. She told her neighbour at home, who had no idea she had even been on a trip.
Target utterance: nan ""What a smooth flight.""
What meaning is she most likely conveying?

Answer:
",,"1
"
3,Gemma-3-1B,Condition2_common_ground_stimuli,general,"You will read short stories that describe everyday situations and which finish with a character saying something. Your task is to decide, given the situation, what meaning the character is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: It had been ready within the hour and they had called her before she reached the caf�. Her partner had dropped her off and had been updated throughout, so no explanation was needed.
Target utterance: nan ""That was a quick turnaround.""
What meaning is she most likely conveying?

Answer:
",,"1
"
4,Gemma-3-1B,Condition2_common_ground_stimuli,general,"You will read short stories that describe everyday situations and which finish with a character saying something. Your task is to decide, given the situation, what meaning the character is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: It installed in under two minutes and opened without a single configuration issue. The IT technician had been on the phone throughout and had already noted how cleanly it had gone.
Target utterance: nan ""That was effortless to set up.""
What meaning is she most likely conveying?

Answer:
",,"1
"
5,Gemma-3-1B,Condition2_common_ground_stimuli,general,"You will read short stories that describe everyday situations and which finish with a character saying something. Your task is to decide, given the situation, what meaning the character is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He had sat in gridlock for ninety minutes and arrived after the meeting had started. His passenger had been in the car with him and had experienced the same gridlock firsthand.
Target utterance: nan ""The roads were incredibly clear today.""
What meaning is he most likely conveying?

Answer:
",,"1
"
6,Gemma-3-1B,Condition2_common_ground_stimuli,general,"You will read short stories that describe everyday situations and which finish with a character saying something. Your task is to decide, given the situation, what meaning the character is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They had a sea-view room and spent every evening watching the sunset. One of them described it to a neighbour who had not known they were going away.
Target utterance: nan ""That was a relaxing holiday.""
What meaning is they most likely conveying?

Answer:
",,"1
"
7,Gemma-3-1B,Condition2_common_ground_stimuli,general,"You will read short stories that describe everyday situations and which finish with a character saying something. Your task is to decide, given the situation, what meaning the character is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: My partner submitted the wrong file and I had to redo their section at midnight. I mentioned it to a friend who had no idea we had been working on anything together.
Target utterance: nan ""We really pulled together on that one.""
What meaning is I most likely conveying?

Answer:
",,"1
"
8,Gemma-3-1B,Condition2_common_ground_stimuli,general,"You will read short stories that describe everyday situations and which finish with a character saying something. Your task is to decide, given the situation, what meaning the character is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: The session was packed with new techniques and they applied three of them the next morning. They described it to a friend in a different field who had no idea what the training covered.
Target utterance: nan ""That was well worth attending.""
What meaning is they most likely conveying?

Answer:
",,"1
"
9,Gemma-3-1B,Condition2_common_ground_stimuli,general,"You will read short stories that describe everyday situations and which finish with a character saying something. Your task is to decide, given the situation, what meaning the character is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: The reviewer had annotated every section and included specific suggestions throughout. She told a friend outside academia who had no idea what the writing project was about.
Target utterance: nan ""That feedback was so useful.""
What meaning is she most likely conveying?

Answer:
",,"1
"
10,Gemma-3-1B,Condition2_common_ground_stimuli,general,"You will read short stories that describe everyday situations and which finish with a character saying something. Your task is to decide, given the situation, what meaning the character is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: She arrived home to find nobody there and a reminder that everyone had cancelled. She mentioned it to someone at work who had not known about the plans at all.
Target utterance: nan ""What a wonderful surprise.""
What meaning is she most likely conveying?

Answer:
",,"1
"
