Item_ID,context_level,irony_label,pronoun,key word,adjective,better adjectives,context,speaker,target_utterance,answering_options,Writer,Reviewer
"C1_01_A_I
",ambiguous,ironic,He,cat,overweight,,He lifted the overweight cat from the table.,He says: ,"""That was easy!""","1. The cat was easy to lift up.
2. The cat was really hard to lift up.
3. The exam was really easy.
4. He just got a great deal on a new car.",Betti,
C1_01_A_NI,ambiguous,non-ironic,He,cat,thin,curvy,He lifted the thin cat from the table.,He says: ,"""That was easy!""","1. The cat was easy to lift up.
2. The cat was really hard to lift up.
3. The exam was really easy.
4. He just got a great deal on a new car.",Betti,
C1_01_UA_I,unambiguous,ironic,He,cat,obese,"bony, emaciated",He lifted the obese cat from the table.,He says: ,"""That was easy!""","1. The cat was easy to lift up.
2. The cat was really hard to lift up.
3. The exam was really easy.
4. He just got a great deal on a new car.",Betti,
C1_01_UA_NI,unambiguous,non-ironic,He,cat,skinny,,He lifted the skinny cat from the table.,He says: ,"""That was easy!""","1. The cat was easy to lift up.
2. The cat was really hard to lift up.
3. The exam was really easy.
4. He just got a great deal on a new car.",Betti,
C1_02_A_I,ambiguous,ironic,She,dog,overweight,,She picked up her overweigth dog.,She says:,"""Heaviest dog ever.""","1. The dog was really heavy to pick up.
2. The dog was very light to pick up.
3. It was the heaviest package she ever carried.
4. She just adopted a new puppy.",Betti,
C1_02_A_NI,ambiguous,non-ironic,She,dog,thin,,She picked up her thin dog.,She says:,"""Heaviest dog ever.""","1. The dog was really heavy to pick up.
2. The dog was very light to pick up.
3. It was the heaviest package she ever carried.
4. She just adopted a new puppy.",Betti,
C1_02_UA_I,unambiguous,ironic,She,dog,obese,,She picked up her obese dog.,She says:,"""Heaviest dog ever.""","1. The dog was really heavy to pick up.
2. The dog was very light to pick up.
3. It was the heaviest package she ever carried.
4. She just adopted a new puppy.",Betti,
C1_02_UA_NI,unambiguous,non-ironic,She,dog,skinny,,She picked up her skinny dog.,She says:,"""Heaviest dog ever.""","1. The dog was really heavy to pick up.
2. The dog was very light to pick up.
3. It was the heaviest package she ever carried.
4. She just adopted a new puppy.",Betti,
"C1_03_A_I
",ambiguous,ironic,They,friend,overweight,,A few friends picked up there overweight friend.,They say:,"""Light as a feather.""","1. Their friend was very easy to lift.
2. Getting their friend off the ground took a lot of effort.
3. The feather fell gently to the ground.
4. They decided to go out for dinner.",Betti,
C1_03_A_NI,ambiguous,non-ironic,They,friend,thin,,A few friends picked up there thin friend.,They say:,"""Light as a feather.""","1. Their friend was very easy to lift.
2. Getting their friend off the ground took a lot of effort.
3. The feather fell gently to the ground.
4. They decided to go out for dinner.",Betti,
C1_03_UA_I,unambiguous,ironic,They,friend,obese,,A few friends picked up there obese friend.,They say:,"""Light as a feather.""","1. Their friend was very easy to lift.
2. Getting their friend off the ground took a lot of effort.
3. The feather fell gently to the ground.
4. They decided to go out for dinner.",Betti,
C1_03_UA_NI,unambiguous,non-ironic,They,friend,skinny,,A few friends picked up there skinny friend.,They say:,"""Light as a feather.""","1. Their friend was very easy to lift.
2. Getting their friend off the ground took a lot of effort.
3. The feather fell gently to the ground.
4. They decided to go out for dinner.",Betti,
C1_04_A_I,ambiguous,ironic,She,cake,palatable,,She ate an unpleasant cake.,She says:,"""What a delicious cake.""","1. The cake tasted really good.
2. The cake tasted really bad.
3. She baked a cake for the school fair.
4. She is planning a birthday party.",Betti,
C1_04_A_NI,ambiguous,non-ironic,She,cake,unpleasant,,She ate a palatable cake.,She says:,"""What a delicious cake.""","1. The cake tasted really good.
2. The cake tasted really bad.
3. She baked a cake for the school fair.
4. She is planning a birthday party.",Betti,
C1_04_UA_I,unambiguous,ironic,She,cake,delicious,,She ate an disgusting cake.,She says:,"""What a delicious cake.""","1. The cake tasted really good.
2. The cake tasted really bad.
3. She baked a cake for the school fair.
4. She is planning a birthday party.",Betti,
C1_04_UA_NI,unambiguous,non-ironic,She,cake,disgusting,,She ate an delicous cake.,She says:,"""What a delicious cake.""","1. The cake tasted really good.
2. The cake tasted really bad.
3. She baked a cake for the school fair.
4. She is planning a birthday party.",Betti,
"C1_05_A_I
",ambiguous,ironic,He,medicine,palatable,,He swallowed the medicine and found it palatable.,He says:,"""Better than expected.""","1. The medicine tasted surprisingly pleasant.
2. The medicine tasted absolutely awful.
3. She made a doctor's appointment.
4. She was looking for a new pharmacy.",,
C1_05_A_NI,ambiguous,non-ironic,He,medicine,unpleasant ,,He swallowed the medicine and found it unpleasant.,He says:,"""Better than expected.""","1. The medicine tasted surprisingly pleasant.
2. The medicine tasted absolutely awful.
3. She made a doctor's appointment.
4. She was looking for a new pharmacy.",,
C1_05_UA_I,unambiguous,ironic,He,medicine,delicious ,,He swallowed the medicine and found it delicious.,He says:,"""Better than expected.""","1. The medicine tasted surprisingly pleasant.
2. The medicine tasted absolutely awful.
3. She made a doctor's appointment.
4. She was looking for a new pharmacy.",,
C1_05_UA_NI,unambiguous,non-ironic,He,medicine,disgusting,,He swallowed the medicine and found it disgusting.,He says:,"""Better than expected.""","1. The medicine tasted surprisingly pleasant.
2. The medicine tasted absolutely awful.
3. She made a doctor's appointment.
4. She was looking for a new pharmacy.",,
C1_06_A_I,ambiguous,ironic,They,smoothie,palatable,,They took a sip of their smoothies and found it palatable.,They say:,"""What a treat.""","1. The smoothie was thoroughly enjoyable.
2. The smoothie was thoroughly nasty.
3. She bought a new blender.
4. She was looking for a new smoothie recipe.",,
C1_06_A_NI,ambiguous,non-ironic,They,smoothie,unpleasant,,They took a sip of their smoothies and found it unpleasant.,They say:,"""What a treat.""","1. The smoothie was thoroughly enjoyable.
2. The smoothie was thoroughly nasty.
3. She bought a new blender.
4. She was looking for a new smoothie recipe.",,
C1_06_UA_I,unambiguous,ironic,They,smoothie,disgusting,,They took a sip of their smoothies and found it delicious.,They say:,"""What a treat.""","1. The smoothie was thoroughly enjoyable.
2. The smoothie was thoroughly nasty.
3. She bought a new blender.
4. She was looking for a new smoothie recipe.",,
